Generation,Normal Average,Memetic Average
0,387.606,481.069
1,394.303,481.069
2,400.242,481.069
3,404.73,481.069
4,407.115,481.069
5,410.284,481.069
6,413.975,481.069
7,418.628,481.069
8,421.85,481.069
9,427.559,481.069
10,429.709,481.069
11,432.963,481.069
12,436.479,481.069
13,439.519,481.069
14,442.361,481.069
15,443.811,481.069
16,445.897,481.069
17,445.897,481.069
18,447.767,481.069
19,450.201,481.069
20,451.323,481.069
21,451.691,481.069
22,453.367,481.069
23,455.001,481.069
24,456.556,481.069
25,459.355,481.069
26,460.364,481.069
27,462.444,481.069
28,462.968,481.069
29,464.087,481.069
30,464.226,481.069
31,464.618,481.069
32,464.618,481.069
33,464.916,481.069
34,467.047,481.069
35,467.117,481.069
36,467.117,481.069
37,467.117,481.069
38,467.257,481.069
39,467.257,481.069
40,467.257,481.069
41,468.114,481.069
42,468.343,481.069
43,468.553,481.069
44,468.693,481.069
45,468.99,481.069
46,469.13,481.069
47,469.13,481.069
48,469.13,481.069
49,469.288,481.069
50,469.656,481.069
51,470.149,481.069
52,470.149,481.069
53,470.149,481.069
54,470.675,481.069
55,470.675,481.069
56,471.071,481.069
57,471.071,481.069
58,471.211,481.069
59,471.5,481.069
60,471.5,481.069
61,471.64,481.069
62,471.77,481.069
63,472.941,481.069
64,472.941,481.069
65,472.941,481.069
66,473.589,481.069
67,473.72,481.069
68,474.255,481.069
69,474.937,481.069
70,475.328,481.069
71,475.328,481.069
72,475.328,481.069
73,475.328,481.069
74,475.484,481.069
75,475.978,481.069
76,476.346,481.069
77,477.176,481.069
78,477.176,481.069
79,477.474,481.069
80,477.474,481.069
81,477.474,481.069
82,477.772,481.069
83,477.772,481.069
84,478.14,481.069
85,478.875,481.069
86,478.875,481.069
87,478.875,481.069
88,478.875,481.069
89,478.875,481.069
90,478.875,481.069
91,478.875,481.069
92,478.875,481.069
93,478.875,481.069
94,478.875,481.069
95,478.875,481.069
96,478.875,481.069
97,478.875,481.069
98,478.875,481.069
99,478.875,481.069
100,478.875,481.069
101,478.875,481.069
102,478.875,481.069
103,478.875,481.069
104,478.875,481.069
105,478.875,481.069
106,478.875,481.069
107,478.875,481.069
108,478.875,481.069
109,478.875,481.069
110,478.875,481.069
111,478.875,481.069
112,478.875,481.069
113,479.015,481.069
114,479.015,481.069
115,479.015,481.069
116,479.015,481.069
117,479.015,481.069
118,479.015,481.069
119,479.015,481.069
120,479.015,481.069
121,479.015,481.069
122,479.015,481.069
123,479.015,481.069
124,479.015,481.069
125,479.015,481.069
126,479.015,481.069
127,479.015,481.069
128,479.015,481.069
129,479.453,481.069
130,479.453,481.069
131,479.453,481.069
132,479.453,481.069
133,479.453,481.069
134,479.453,481.069
135,479.453,481.069
136,479.453,481.069
137,479.592,481.069
138,479.592,481.069
139,479.592,481.069
140,479.592,481.069
141,479.592,481.069
142,479.592,481.069
143,479.592,481.069
144,479.592,481.069
145,479.89,481.069
146,479.89,481.069
147,479.89,481.069
148,479.89,481.069
149,479.89,481.069
150,479.89,481.069
151,479.89,481.069
152,479.89,481.069
153,479.89,481.069
154,479.89,481.069
155,479.89,481.069
156,479.89,481.069
157,479.89,481.069
158,479.89,481.069
159,479.89,481.069
160,479.89,481.069
161,479.89,481.069
162,479.89,481.069
163,479.89,481.069
164,479.89,481.069
165,479.89,481.069
166,479.89,481.069
167,479.89,481.069
168,479.89,481.069
169,479.89,481.069
170,479.89,481.069
171,479.89,481.069
172,479.89,481.069
173,479.89,481.069
174,479.89,481.069
175,479.89,481.069
176,480.03,481.069
177,480.03,481.069
178,480.03,481.069
179,480.03,481.069
180,480.03,481.069
181,480.03,481.069
182,480.03,481.069
183,480.03,481.069
184,480.03,481.069
185,480.03,481.069
186,480.03,481.069
187,480.03,481.069
188,480.03,481.069
189,480.03,481.069
190,480.03,481.069
191,480.79,481.069
192,480.79,481.069
193,480.79,481.069
194,480.79,481.069
195,480.79,481.069
196,480.79,481.069
197,480.79,481.069
198,480.79,481.069
199,480.79,481.069
200,480.79,481.069
201,480.79,481.069
202,480.79,481.069
203,480.79,481.069
204,480.79,481.069
205,480.79,481.069
206,480.79,481.069
207,480.79,481.069
208,480.79,481.069
209,480.79,481.069
210,480.79,481.069
211,480.93,481.069
212,480.93,481.069
213,480.93,481.069
214,480.93,481.069
215,480.93,481.069
216,480.93,481.069
217,480.93,481.069
218,480.93,481.069
219,480.93,481.069
220,480.93,481.069
221,480.93,481.069
222,480.93,481.069
223,480.93,481.069
224,480.93,481.069
225,480.93,481.069
226,480.93,481.069
227,480.93,481.069
228,480.93,481.069
229,480.93,481.069
230,480.93,481.069
231,480.93,481.069
232,480.93,481.069
233,480.93,481.069
234,480.93,481.069
235,480.93,481.069
236,480.93,481.069
237,480.93,481.069
238,480.93,481.069
239,480.93,481.069
240,480.93,481.069
241,480.93,481.069
242,480.93,481.069
243,480.93,481.069
244,480.93,481.069
245,480.93,481.069
246,480.93,481.069
247,480.93,481.069
248,480.93,481.069
249,480.93,481.069
250,480.93,481.069
251,480.93,481.069
252,480.93,481.069
253,480.93,481.069
254,480.93,481.069
255,480.93,481.069
256,480.93,481.069
257,480.93,481.069
258,480.93,481.069
259,480.93,481.069
260,480.93,481.069
261,480.93,481.069
262,480.93,481.069
263,480.93,481.069
264,480.93,481.069
265,480.93,481.069
266,480.93,481.069
267,480.93,481.069
268,480.93,481.069
269,480.93,481.069
270,480.93,481.069
271,480.93,481.069
272,480.93,481.069
273,480.93,481.069
274,480.93,481.069
275,480.93,481.069
276,480.93,481.069
277,480.93,481.069
278,480.93,481.069
279,480.93,481.069
280,480.93,481.069
281,480.93,481.069
282,480.93,481.069
283,480.93,481.069
284,480.93,481.069
285,480.93,481.069
286,480.93,481.069
287,480.93,481.069
288,480.93,481.069
289,480.93,481.069
290,480.93,481.069
291,480.93,481.069
292,480.93,481.069
293,480.93,481.069
294,480.93,481.069
295,480.93,481.069
296,480.93,481.069
297,480.93,481.069
298,480.93,481.069
299,480.93,481.069
300,480.93,481.069
301,480.93,481.069
302,480.93,481.069
303,480.93,481.069
304,480.93,481.069
305,480.93,481.069
306,480.93,481.069
307,480.93,481.069
308,480.93,481.069
309,480.93,481.069
310,480.93,481.069
311,480.93,481.069
312,480.93,481.069
313,480.93,481.069
314,480.93,481.069
315,480.93,481.069
316,480.93,481.069
317,480.93,481.069
318,480.93,481.069
319,480.93,481.069
320,480.93,481.069
321,480.93,481.069
322,480.93,481.069
323,480.93,481.069
324,480.93,481.069
325,480.93,481.069
326,480.93,481.069
327,480.93,481.069
328,480.93,481.069
329,480.93,481.069
330,480.93,481.069
331,480.93,481.069
332,480.93,481.069
333,480.93,481.069
334,480.93,481.069
335,480.93,481.069
336,480.93,481.069
337,480.93,481.069
338,480.93,481.069
339,480.93,481.069
340,480.93,481.069
341,480.93,481.069
342,480.93,481.069
343,480.93,481.069
344,480.93,481.069
345,480.93,481.069
346,480.93,481.069
347,480.93,481.069
348,480.93,481.069
349,480.93,481.069
350,480.93,481.069
351,480.93,481.069
352,480.93,481.069
353,480.93,481.069
354,480.93,481.069
355,480.93,481.069
356,480.93,481.069
357,480.93,481.069
358,480.93,481.069
359,480.93,481.069
360,480.93,481.069
361,480.93,481.069
362,480.93,481.069
363,480.93,481.069
364,480.93,481.069
365,480.93,481.069
366,480.93,481.069
367,480.93,481.069
368,480.93,481.069
369,480.93,481.069
370,480.93,481.069
371,480.93,481.069
372,480.93,481.069
373,480.93,481.069
374,480.93,481.069
375,480.93,481.069
376,480.93,481.069
377,480.93,481.069
378,480.93,481.069
379,480.93,481.069
380,480.93,481.069
381,480.93,481.069
382,480.93,481.069
383,480.93,481.069
384,480.93,481.069
385,480.93,481.069
386,480.93,481.069
387,480.93,481.069
388,480.93,481.069
389,480.93,481.069
390,480.93,481.069
391,480.93,481.069
392,480.93,481.069
393,480.93,481.069
394,480.93,481.069
395,480.93,481.069
396,480.93,481.069
397,480.93,481.069
398,480.93,481.069
399,480.93,481.069
400,480.93,481.069
401,480.93,481.069
402,480.93,481.069
403,480.93,481.069
404,480.93,481.069
405,481.069,481.069
406,481.069,481.069
407,481.069,481.069
408,481.069,481.069
409,481.069,481.069
410,481.069,481.069
411,481.069,481.069
412,481.069,481.069
413,481.069,481.069
414,481.069,481.069
415,481.069,481.069
416,481.069,481.069
417,481.069,481.069
418,481.069,481.069
419,481.069,481.069
420,481.069,481.069
421,481.069,481.069
422,481.069,481.069
423,481.069,481.069
424,481.069,481.069
425,481.069,481.069
426,481.069,481.069
427,481.069,481.069
428,481.069,481.069
429,481.069,481.069
430,481.069,481.069
431,481.069,481.069
432,481.069,481.069
433,481.069,481.069
434,481.069,481.069
435,481.069,481.069
436,481.069,481.069
437,481.069,481.069
438,481.069,481.069
439,481.069,481.069
440,481.069,481.069
441,481.069,481.069
442,481.069,481.069
443,481.069,481.069
444,481.069,481.069
445,481.069,481.069
446,481.069,481.069
447,481.069,481.069
448,481.069,481.069
449,481.069,481.069
450,481.069,481.069
451,481.069,481.069
452,481.069,481.069
453,481.069,481.069
454,481.069,481.069
455,481.069,481.069
456,481.069,481.069
457,481.069,481.069
458,481.069,481.069
459,481.069,481.069
460,481.069,481.069
461,481.069,481.069
462,481.069,481.069
463,481.069,481.069
464,481.069,481.069
465,481.069,481.069
466,481.069,481.069
467,481.069,481.069
468,481.069,481.069
469,481.069,481.069
470,481.069,481.069
471,481.069,481.069
472,481.069,481.069
473,481.069,481.069
474,481.069,481.069
475,481.069,481.069
476,481.069,481.069
477,481.069,481.069
478,481.069,481.069
479,481.069,481.069
480,481.069,481.069
481,481.069,481.069
482,481.069,481.069
483,481.069,481.069
484,481.069,481.069
485,481.069,481.069
486,481.069,481.069
487,481.069,481.069
488,481.069,481.069
489,481.069,481.069
490,481.069,481.069
491,481.069,481.069
492,481.069,481.069
493,481.069,481.069
494,481.069,481.069
495,481.069,481.069
496,481.069,481.069
497,481.069,481.069
498,481.069,481.069
499,481.069,481.069
