Generation,Normal Average,Memetic Average
0,258.775,294
1,264.125,294
2,266.175,294
3,269.275,294
4,270.55,294
5,274.7,294
6,276.925,294
7,278.975,294
8,281.15,294
9,281.55,294
10,282.925,294
11,285.35,294
12,285.75,294
13,286.95,294
14,287.45,294
15,287.9,294
16,288.075,294
17,288.15,294
18,288.15,294
19,289.95,294
20,290.325,294
21,290.45,294
22,290.825,294
23,290.825,294
24,290.825,294
25,290.85,294
26,290.85,294
27,290.875,294
28,291.15,294
29,291.15,294
30,291.15,294
31,291.15,294
32,291.175,294
33,291.275,294
34,291.275,294
35,291.35,294
36,291.35,294
37,291.55,294
38,291.65,294
39,291.675,294
40,291.675,294
41,291.725,294
42,291.725,294
43,291.725,294
44,291.725,294
45,291.725,294
46,291.725,294
47,291.825,294
48,291.825,294
49,292.825,294
50,292.825,294
51,292.825,294
52,292.975,294
53,292.975,294
54,292.975,294
55,292.975,294
56,293,294
57,293,294
58,293,294
59,293,294
60,293,294
61,293,294
62,293,294
63,293,294
64,293,294
65,293,294
66,293,294
67,293,294
68,293.125,294
69,293.125,294
70,293.125,294
71,293.125,294
72,293.125,294
73,293.125,294
74,293.125,294
75,293.125,294
76,293.125,294
77,293.125,294
78,293.125,294
79,293.125,294
80,293.125,294
81,293.125,294
82,293.125,294
83,293.125,294
84,293.125,294
85,293.175,294
86,293.175,294
87,293.225,294
88,293.225,294
89,293.225,294
90,293.225,294
91,293.225,294
92,293.225,294
93,293.25,294
94,293.25,294
95,293.25,294
96,293.25,294
97,293.25,294
98,293.325,294
99,293.325,294
100,293.325,294
101,293.325,294
102,293.325,294
103,293.325,294
104,293.325,294
105,293.35,294
106,293.35,294
107,293.35,294
108,293.35,294
109,293.35,294
110,293.35,294
111,293.35,294
112,293.4,294
113,293.4,294
114,293.4,294
115,293.4,294
116,293.4,294
117,293.4,294
118,293.4,294
119,293.4,294
120,293.4,294
121,293.425,294
122,293.675,294
123,293.675,294
124,293.675,294
125,293.675,294
126,293.675,294
127,293.75,294
128,293.75,294
129,293.75,294
130,293.75,294
131,293.75,294
132,293.775,294
133,293.775,294
134,293.775,294
135,293.775,294
136,293.775,294
137,293.775,294
138,293.775,294
139,293.775,294
140,293.8,294
141,293.8,294
142,293.8,294
143,293.8,294
144,293.8,294
145,293.8,294
146,293.8,294
147,293.8,294
148,293.8,294
149,293.8,294
150,293.8,294
151,293.8,294
152,293.8,294
153,293.8,294
154,293.8,294
155,293.8,294
156,293.8,294
157,293.8,294
158,293.8,294
159,293.8,294
160,293.8,294
161,293.8,294
162,293.8,294
163,293.8,294
164,293.8,294
165,293.8,294
166,293.8,294
167,293.8,294
168,293.8,294
169,293.8,294
170,293.8,294
171,293.8,294
172,293.8,294
173,293.8,294
174,293.8,294
175,293.8,294
176,293.8,294
177,293.8,294
178,293.8,294
179,293.8,294
180,293.8,294
181,293.8,294
182,293.8,294
183,293.8,294
184,293.8,294
185,293.8,294
186,293.8,294
187,293.8,294
188,293.8,294
189,293.8,294
190,293.8,294
191,293.8,294
192,293.8,294
193,293.9,294
