Iterations, Time, Avg Cost, Best Cost 
180, 2943.7, 3119.77, 2649
181, 2854.71, 3121.76, 2668
182, 2834.9, 3171.94, 2675
183, 3130.04, 3104.21, 2640
184, 2954.42, 3148.17, 2671
185, 3069.84, 3105.08, 2564
186, 3195.18, 3094.72, 2673
187, 3045.16, 3139.32, 2719
188, 3022.58, 3141.98, 2748
189, 2994.48, 3075.37, 2669
190, 3054.9, 3162.02, 2597
191, 3011.26, 3158.9, 2731
192, 3492.78, 3064.31, 2635
193, 3347.05, 3108.37, 2641
194, 3015.2, 3144.33, 2731
195, 3321.81, 3121.14, 2766
196, 3191.42, 3082.55, 2672
197, 3198.86, 3084.07, 2652
198, 3389.27, 3133.38, 2566
199, 3209.75, 3098.91, 2609
200, 3283.34, 3107.5, 2566
201, 3453.99, 3103.63, 2677
202, 3245.92, 3104.31, 2701
203, 3245.14, 3130.14, 2644
204, 3163.64, 3125.61, 2677
205, 3276.22, 3102.94, 2746
206, 3317.09, 3085.82, 2635
207, 3378.95, 3123.62, 2603
208, 3216.46, 3060.73, 2684
209, 3414.8, 3109.05, 2585
210, 3227.93, 3104.85, 2694
211, 3225.88, 3123.49, 2741
212, 3268.45, 3131.2, 2589
213, 3608.68, 3086.07, 2668
214, 3371.11, 3102.67, 2681
215, 3478.58, 3117.6, 2708
216, 3440.6, 3087.15, 2653
217, 3337.28, 3082.46, 2621
218, 3477.32, 3072.38, 2538
219, 3265.43, 3108.46, 2695
220, 3371.23, 3094.8, 2614
221, 3475.5, 3093.57, 2595
222, 3292.33, 3091.7, 2608
223, 3525.95, 3109.24, 2739
224, 3466.12, 3130.79, 2686
225, 3408.28, 3121.24, 2597
226, 3399.68, 3107.38, 2724
227, 3586.21, 3117.78, 2601
228, 3522.66, 3069.37, 2674
229, 3651.75, 3047.8, 2660
230, 3613.48, 3084.1, 2670
231, 3561.59, 3059.4, 2554
232, 3566.16, 3106.9, 2712
233, 3500.01, 3086.66, 2669
234, 3436.82, 3094.48, 2630
235, 3435.29, 3103.14, 2622
236, 3609.06, 3070.72, 2631
237, 3411.99, 3130.11, 2703
238, 3764.88, 3078.03, 2659
239, 3932.66, 3045.88, 2691
240, 3824.53, 3088.28, 2628
241, 3704.88, 3092.28, 2586
242, 3472.44, 3093.94, 2703
243, 3621.03, 3081.88, 2648
244, 3660.71, 3142.16, 2633
245, 3927.26, 3041.99, 2739
246, 3690.51, 3094.37, 2661
247, 3662.86, 3114.11, 2707
248, 3962.84, 3071.41, 2641
249, 3685.62, 3073.26, 2637
250, 3937.62, 3044.76, 2619
251, 3608.02, 3096.1, 2680
252, 3799.35, 3091.79, 2713
253, 3733.44, 3065.94, 2538
254, 3753.37, 3058.91, 2553
255, 3822.89, 3033.35, 2553
256, 3872.13, 3094.41, 2524
257, 4038.34, 3080.09, 2741
258, 4065.01, 3046.26, 2599
259, 3962.51, 3073.38, 2682
260, 3900.8, 3086.57, 2569
261, 3715.75, 3092.08, 2729
262, 3871.7, 3062.55, 2569
263, 3824.95, 3083.32, 2694
264, 3748.64, 3116.96, 2706
265, 3910.1, 3020.65, 2626
266, 3994.28, 3047.09, 2622
267, 4086.29, 3073.62, 2695
268, 3777.92, 3097.01, 2594
269, 3957.86, 3070.58, 2662
270, 4074.13, 3070.57, 2535
271, 3931.29, 3084.61, 2568
272, 4176.4, 3031.19, 2640
273, 4086.01, 3046.96, 2647
274, 4013.27, 3078.21, 2684
275, 3904.73, 3057.34, 2703
276, 3980.8, 3102.58, 2658
277, 4086.06, 3039.45, 2657
278, 4258.02, 3043.42, 2637
279, 4246.21, 3034.1, 2684
280, 4198.64, 3068.7, 2640
281, 4279.76, 3048.61, 2670
282, 4077.39, 3113.25, 2615
283, 4083.88, 3077.48, 2622
284, 4013, 3070.71, 2656
285, 4242, 3094.43, 2644
286, 4217.44, 3065.62, 2701
287, 4196.64, 3030.79, 2593
288, 4323.87, 3050.59, 2597
289, 4037.81, 3110, 2657
290, 4171.31, 3021.87, 2647
291, 4070.45, 3065.45, 2638
292, 4030.95, 3060.73, 2726
293, 4220.68, 3047.42, 2537
294, 4140.6, 3057.91, 2632
295, 4307.57, 3032.15, 2664
296, 4068.89, 3036.79, 2650
297, 4016.84, 3131.72, 2709
298, 4386.66, 3052.36, 2672
299, 4312.96, 3093.71, 2670
300, 4348.62, 3064.01, 2622
