Iterations, Time, Avg Cost, Best Cost 
185, 349.677, 3910.38, 3034
186, 358.897, 3903.77, 3062
187, 352.721, 3889.17, 3047
188, 358.629, 3886.81, 3074
189, 362.642, 3885.41, 3054
190, 358.567, 3876.65, 3046
191, 364.609, 3885.81, 3064
192, 368.4, 3886.28, 2938
193, 365.607, 3875.65, 3018
194, 368.473, 3884.53, 3047
195, 370.421, 3866.28, 3031
196, 376.075, 3857.59, 3021
197, 379.009, 3881.82, 2876
198, 377.047, 3865.79, 2980
199, 375.604, 3880.91, 3095
200, 380.134, 3858.46, 3008
201, 380.82, 3843.73, 3049
202, 383.892, 3857.68, 2948
203, 392.625, 3836.55, 2998
204, 384.343, 3840.04, 3012
205, 391.157, 3840.28, 3029
206, 391.493, 3840.74, 3094
207, 402.558, 3841.03, 2904
208, 403.139, 3821.28, 3058
209, 400.947, 3849.4, 3066
210, 404.735, 3841.32, 3074
211, 405.952, 3834.46, 2977
212, 413.079, 3816.56, 3078
213, 414.392, 3824.8, 2902
214, 409.412, 3827.82, 2968
215, 409.855, 3806.66, 3048
216, 411.587, 3804.01, 3085
217, 414.549, 3820.33, 3093
218, 413.975, 3798.5, 3006
219, 418.373, 3812.22, 3035
220, 417.993, 3807.07, 2892
221, 419.799, 3800.45, 3074
222, 425.206, 3798.86, 3060
223, 435.477, 3801.34, 2917
224, 431.24, 3791.87, 2906
225, 433.675, 3792.03, 2852
226, 437.414, 3775.22, 2910
227, 441.973, 3811.47, 3095
228, 439.548, 3803.92, 3001
229, 442.37, 3783.26, 2953
230, 445.437, 3776.03, 2937
231, 442.994, 3784.23, 3003
232, 444.13, 3772.09, 2985
233, 449.36, 3771.47, 2853
234, 448.131, 3780.24, 2975
235, 447.785, 3758.43, 2950
236, 448.088, 3771.95, 2928
237, 452.485, 3770.57, 2904
238, 461.877, 3772.76, 2910
239, 464.411, 3758.01, 2804
240, 480.03, 3755.34, 2934
241, 466.204, 3764.06, 2978
242, 463.8, 3739.75, 2969
243, 471.648, 3750.43, 2893
244, 472.933, 3749.19, 2938
245, 489.229, 3745.93, 2956
246, 486.796, 3746.95, 2952
247, 482.19, 3757.42, 3033
248, 492.536, 3746.05, 3011
249, 485.719, 3723.43, 3011
250, 484.342, 3735.56, 2944
251, 490.869, 3734.62, 2948
252, 506.258, 3743.9, 2923
253, 501.902, 3736.92, 2963
254, 517.277, 3732.84, 2832
255, 518.601, 3737.44, 2965
256, 512.198, 3715.98, 2973
257, 507.547, 3719.62, 3011
258, 510.105, 3720.33, 2860
259, 509.492, 3716.38, 2925
260, 508.167, 3703.53, 2853
261, 508.056, 3716.5, 2961
262, 502.782, 3711.28, 2880
263, 514.613, 3723.93, 3010
264, 517.174, 3707.57, 3009
265, 509.145, 3717.68, 2906
266, 512.791, 3709.83, 3005
267, 515.095, 3712.64, 3044
268, 515.325, 3697.61, 2883
269, 517.147, 3703.02, 2981
270, 518.131, 3687.96, 2884
271, 536.76, 3710.66, 2991
272, 529.73, 3709.76, 2905
273, 533.398, 3688.86, 2943
274, 531.083, 3705.95, 2875
275, 529.966, 3699.44, 2905
276, 528.687, 3683.01, 2873
277, 538.447, 3688.86, 2852
278, 541.545, 3685.3, 2897
279, 539.114, 3678.83, 2822
280, 540.7, 3686.91, 2967
281, 541.591, 3684.73, 2924
282, 545.892, 3685.16, 2931
283, 547.069, 3687.78, 2920
284, 547.002, 3671.57, 2951
285, 554.097, 3663.49, 2922
286, 552.246, 3656.78, 2824
287, 554.105, 3663.41, 2909
288, 554.864, 3668.22, 2972
289, 557.106, 3664.55, 2884
290, 558.772, 3673.36, 2850
291, 565.938, 3655.87, 2983
292, 558.316, 3656.7, 2923
293, 565.848, 3647.9, 2913
294, 570.043, 3657.27, 2945
295, 566.716, 3651.59, 2925
296, 579.743, 3648.79, 2883
297, 579.205, 3652.44, 2952
298, 574.555, 3640.67, 2955
299, 583.354, 3656.47, 2904
300, 577.592, 3650.4, 2901
