Iterations, Time, Avg Cost, Best Cost 
1, 41.5431, 6944.61, 5666
2, 47.6063, 6591.56, 5238
3, 52.5096, 6151.58, 5275
4, 57.9057, 5995.91, 4860
5, 63.1756, 5700.91, 4992
6, 66.7925, 5465.16, 4532
7, 73.5973, 5355.94, 4495
8, 80.0739, 5201.15, 4491
9, 81.1451, 5076.53, 4252
10, 86.207, 4948.77, 4133
11, 90.5613, 4881.44, 4027
12, 95.4637, 4734.94, 3977
13, 103.227, 4652.37, 4025
14, 106.845, 4583.17, 3962
15, 110.377, 4495.87, 3891
16, 115.56, 4457.85, 3823
17, 121.704, 4396.82, 3205
18, 125.639, 4340.49, 3783
19, 130.973, 4322.46, 3685
20, 136.95, 4297.57, 3704
21, 142.373, 4200.33, 3353
22, 146.172, 4167.54, 3612
23, 150.077, 4134.2, 3518
24, 155.152, 4081.9, 3388
25, 160.257, 4043.69, 3288
26, 164.94, 4049.46, 3401
27, 170.095, 3980.27, 3438
28, 175.405, 4022.36, 3229
29, 197.304, 3960.71, 3359
30, 194.003, 3915.61, 3375
31, 200.929, 3911.24, 3074
32, 204.814, 3835.96, 3122
33, 200.048, 3861.02, 3250
34, 209.385, 3804.74, 3254
35, 215.722, 3786.23, 3039
36, 220.274, 3798.95, 3091
37, 224.544, 3753.37, 3069
38, 227.348, 3714.47, 3130
39, 230.786, 3772.13, 3168
40, 242.799, 3698.94, 3052
41, 239.682, 3713.18, 3090
42, 246.991, 3675.79, 3200
43, 250.369, 3660.73, 3070
44, 257.676, 3635.83, 3187
45, 258.962, 3634.33, 2965
46, 266.23, 3634, 3089
47, 273.866, 3597.71, 3031
48, 288.947, 3608.92, 2953
49, 290.235, 3602.33, 3042
50, 291.854, 3613.2, 2969
51, 296.136, 3547.16, 2991
52, 300.415, 3576.04, 2961
53, 303.38, 3581.02, 3025
54, 304.326, 3534.22, 3003
55, 310.716, 3577.05, 2948
56, 315.484, 3562.94, 3116
57, 321.456, 3534.69, 3001
58, 325.21, 3515.11, 2978
59, 331.019, 3520.3, 2958
60, 335.454, 3514.37, 3041
61, 340.807, 3488.47, 2920
62, 343.244, 3505.47, 3038
63, 349.89, 3460.58, 2777
64, 353.221, 3515.88, 2876
65, 360.069, 3457.76, 2837
66, 364.46, 3472.17, 2784
67, 368.617, 3492.64, 2928
68, 375.702, 3402.23, 2902
69, 381.71, 3450.72, 2909
70, 393.777, 3422.46, 2778
71, 399.315, 3448.74, 2951
72, 393.968, 3437.78, 2881
73, 399.15, 3447.91, 2865
74, 405.508, 3367.86, 2850
75, 415.752, 3389.9, 2911
76, 412.351, 3385.86, 2922
77, 415.853, 3395.7, 2858
78, 414.323, 3369.13, 2789
79, 422.343, 3451.69, 2957
80, 440.238, 3367.33, 2792
81, 438.338, 3392.08, 2829
82, 441.882, 3356.68, 2807
83, 452.439, 3341.06, 2802
84, 457.001, 3339.64, 2925
85, 463.287, 3314.3, 2721
86, 462.282, 3372.12, 2823
87, 469.298, 3341.04, 2877
88, 470.743, 3356.71, 2819
89, 474.901, 3333.4, 2853
90, 481.677, 3286.19, 2695
91, 500.645, 3352.97, 2837
92, 489.509, 3350.14, 2804
93, 496.426, 3313.38, 2803
94, 514.873, 3336.55, 2763
95, 504.044, 3288.15, 2857
96, 509.447, 3326.26, 2815
97, 513.471, 3276.37, 2862
98, 513.771, 3290.8, 2671
99, 511.659, 3350.52, 2809
100, 522.495, 3299.31, 2758
101, 523.863, 3332.97, 2885
102, 534.465, 3289.4, 2775
103, 535.85, 3302.31, 2796
104, 566.698, 3297.99, 2869
105, 574.691, 3254.55, 2749
106, 587.235, 3300.98, 2750
107, 579.71, 3282, 2767
108, 586.412, 3223.49, 2774
109, 588.379, 3258.18, 2808
110, 592.088, 3288.99, 2857
111, 595.026, 3313.48, 2804
112, 602.847, 3272.34, 2828
113, 595.808, 3280.07, 2748
114, 607.221, 3281.58, 2811
115, 609.54, 3236.22, 2707
116, 632.435, 3255.76, 2737
117, 631.482, 3270.17, 2793
118, 626.847, 3263.19, 2789
119, 639.748, 3269.63, 2672
120, 638.664, 3256.78, 2651
121, 641.585, 3295.93, 2820
122, 657.979, 3247.25, 2793
123, 672.5, 3227.42, 2786
124, 664.178, 3289.01, 2717
125, 668.016, 3329.24, 2861
126, 668.919, 3265.18, 2678
127, 670.387, 3267.77, 2847
128, 702.133, 3301.41, 2829
129, 687.496, 3213.05, 2772
130, 696.068, 3209.9, 2797
131, 699.288, 3250.31, 2672
132, 704.04, 3204.48, 2786
133, 700.072, 3231.77, 2865
134, 708.715, 3261.7, 2661
135, 710.134, 3240.32, 2676
136, 717.376, 3237.7, 2720
137, 727.467, 3218.31, 2655
138, 761.288, 3241.09, 2736
139, 738.749, 3219.6, 2841
140, 745.619, 3212.66, 2799
141, 759.789, 3223.22, 2822
142, 761.368, 3287.44, 2822
143, 760.161, 3235.6, 2732
144, 766.298, 3231.14, 2854
145, 770.742, 3268.47, 2738
146, 775.918, 3210.72, 2640
147, 779.514, 3202.68, 2691
148, 792.375, 3172.89, 2651
149, 790.651, 3262.11, 2679
150, 782.792, 3235.18, 2826
