Iterations, Time, Avg Cost, Best Cost 
185, 1193.05, 3015.25, 2625
186, 1192.36, 3000.81, 2645
187, 1203.95, 3004.08, 2684
188, 1210.18, 2972.93, 2655
189, 1228.02, 3004.33, 2692
190, 1231.98, 3000.37, 2606
191, 1219.05, 3017.43, 2632
192, 1235.68, 3012.74, 2621
193, 1235.04, 2985.95, 2574
194, 1242.13, 3011.28, 2624
195, 1248.66, 2982.46, 2597
196, 1261.44, 2989.61, 2649
197, 1266.33, 3009.23, 2582
198, 1267.47, 3002.08, 2667
199, 1270.04, 2992.22, 2692
200, 1290.96, 2999.14, 2592
201, 1282.52, 3017.95, 2682
202, 1290.87, 2997.57, 2695
203, 1294.93, 2963.2, 2673
204, 1299.71, 3015.01, 2688
205, 1310.94, 3007.16, 2628
206, 1311.94, 3023.63, 2610
207, 1328.91, 2950.37, 2670
208, 1329.32, 2973.32, 2550
209, 1332.73, 2979.88, 2629
210, 1343.55, 3040.88, 2635
211, 1345.54, 2999.64, 2660
212, 1365.55, 3007.67, 2661
213, 1362.38, 2982.61, 2591
214, 1368.36, 3011.1, 2666
215, 1368.41, 2988.83, 2681
216, 1379.35, 2987.51, 2663
217, 1382.03, 2986.15, 2653
218, 1400.44, 2978.47, 2581
219, 1395.4, 2973.08, 2630
220, 1420.23, 3022.38, 2573
221, 1419.82, 2977.95, 2607
222, 1414.31, 2974.71, 2568
223, 1423.66, 2974.2, 2585
224, 1425.02, 2989.37, 2697
225, 1440.16, 3009.45, 2579
226, 1436.92, 2980.61, 2665
227, 1451.51, 2993.38, 2656
228, 1459.24, 2979.26, 2688
229, 1454.04, 2963.41, 2649
230, 1473.31, 2961.12, 2587
231, 1468.97, 2955.99, 2678
232, 1479.5, 2989.21, 2574
233, 1479.07, 2970.28, 2668
234, 1493.18, 2979.05, 2588
235, 1494.24, 2993.42, 2632
236, 1503.2, 3011.67, 2631
237, 1504.1, 2947.16, 2598
238, 1517.93, 2954.78, 2583
239, 1517.25, 3001.42, 2670
240, 1528.08, 2963.47, 2601
241, 1531.86, 2958.47, 2619
242, 1542.58, 2990.38, 2610
243, 1557.47, 2976.06, 2644
244, 1552.04, 2952.95, 2551
245, 1540.59, 2975.57, 2633
246, 1583.87, 2964.22, 2654
247, 1588.14, 2990.97, 2701
248, 1607.35, 2954.56, 2550
249, 1584, 2939.78, 2593
250, 1599.64, 2972.09, 2667
251, 1593.69, 2975.24, 2651
252, 1597.41, 2958.41, 2693
253, 1622.79, 2939.87, 2616
254, 1642.13, 2950.39, 2589
255, 1619.04, 2955.49, 2593
256, 1632.6, 2928.37, 2643
257, 1631.46, 2976.02, 2596
258, 1630.09, 2969.77, 2635
259, 1654.45, 2960.19, 2604
260, 1666.38, 2939.57, 2594
261, 1659.06, 2910.07, 2631
262, 1668.07, 2935.87, 2535
263, 1662.43, 2964.36, 2603
264, 1670.88, 2978.46, 2619
265, 1687.59, 2948.73, 2609
266, 1688.17, 2956.75, 2656
267, 1692.52, 2928.13, 2598
268, 1711, 2933.64, 2553
269, 1704.84, 2927.71, 2573
270, 1691.73, 2952.09, 2620
271, 1735.36, 2956.3, 2669
272, 1736.34, 2941.45, 2559
273, 1737.54, 2939.55, 2638
274, 1736.73, 2923, 2657
275, 1734.28, 2963.76, 2625
276, 1754.96, 2958.84, 2634
277, 1751.55, 2945.46, 2615
278, 1747.6, 2909.11, 2550
279, 1774.34, 2929.24, 2642
280, 1780.32, 2977.37, 2666
281, 1782.52, 2952.97, 2652
282, 1771.62, 2964.4, 2553
283, 1822.28, 2961.97, 2566
284, 1794.85, 2917.8, 2604
285, 1811.82, 2960.34, 2660
286, 1817.34, 2943.45, 2550
287, 1810.72, 2947.44, 2680
288, 1832.64, 2952.4, 2585
289, 1836.55, 2922.86, 2578
290, 1843.97, 2936.45, 2631
291, 1845.37, 2952.36, 2606
292, 1841.68, 2912.16, 2541
293, 1839.46, 2991.57, 2567
294, 1856.79, 2931, 2587
295, 1907.36, 2909.18, 2617
296, 1866.56, 2959.73, 2574
297, 1884.05, 2909.65, 2566
298, 1900.06, 2946.53, 2576
299, 1873.53, 2936.38, 2624
300, 1893.9, 2954.26, 2653
