Iterations, Time, Avg Cost, Best Cost 
187, 659.71, 3191.83, 2786
188, 681.863, 3269.62, 2869
189, 683.711, 3237.3, 2777
190, 666.601, 3230.38, 2761
191, 660.499, 3240.23, 2781
192, 660.336, 3243.37, 2798
193, 660.734, 3240.25, 2754
194, 659.647, 3235.37, 2832
195, 667.54, 3231.18, 2736
196, 670.727, 3262.1, 2779
197, 674.851, 3271.98, 2798
198, 677.178, 3216.25, 2730
199, 680.546, 3272.12, 2686
200, 686.027, 3201.62, 2808
201, 686.465, 3229.1, 2847
202, 690.524, 3228.82, 2783
203, 692.96, 3255.45, 2715
204, 731.309, 3198.52, 2771
205, 743.884, 3173.34, 2770
206, 738.971, 3257.85, 2791
207, 742.336, 3209.08, 2726
208, 744.775, 3236.12, 2737
209, 747.61, 3221.87, 2819
210, 740.852, 3249.52, 2752
211, 741.552, 3227.41, 2738
212, 747.033, 3232.66, 2717
213, 754.434, 3205.28, 2620
214, 756.893, 3209.41, 2770
215, 758.471, 3231.57, 2675
216, 759.351, 3211.19, 2772
217, 755.304, 3233.24, 2621
218, 743.012, 3244.95, 2686
219, 748.064, 3231.59, 2754
220, 749.335, 3222.34, 2677
221, 752.525, 3197.01, 2711
222, 779.54, 3248.75, 2703
223, 779.876, 3221.15, 2733
224, 781.947, 3220.1, 2651
225, 792.696, 3229.15, 2775
226, 796.07, 3176.91, 2751
227, 793.53, 3191.66, 2731
228, 802.132, 3237.19, 2710
229, 799.703, 3193.4, 2553
230, 826.612, 3240.51, 2785
231, 803.985, 3160.32, 2643
232, 805.322, 3215.44, 2660
233, 795.282, 3196.16, 2765
234, 794.652, 3221.66, 2715
235, 811.511, 3191.95, 2736
236, 827.387, 3208.87, 2742
237, 823.018, 3201.76, 2744
238, 826.906, 3240.09, 2797
239, 820.105, 3202.15, 2686
240, 864.97, 3245.22, 2712
241, 850.484, 3217.76, 2726
242, 852.3, 3250.21, 2626
243, 899.65, 3194.34, 2702
244, 869.767, 3221.23, 2715
245, 870.092, 3205.68, 2775
246, 874.522, 3215.16, 2780
247, 888.091, 3186.16, 2681
248, 889.426, 3215.5, 2772
249, 885.803, 3216.74, 2734
250, 887.333, 3181.79, 2646
251, 888.223, 3192.63, 2728
252, 871.359, 3182.27, 2669
253, 876.265, 3213.86, 2744
254, 893.308, 3237.09, 2791
255, 881.611, 3173.77, 2670
256, 920.927, 3228.05, 2637
257, 931.284, 3205.1, 2704
258, 919.105, 3211.77, 2760
259, 921.169, 3202.96, 2758
260, 924.588, 3215.3, 2845
261, 923.37, 3195.94, 2702
262, 917.816, 3208.5, 2667
263, 915.291, 3194.68, 2753
264, 918.828, 3245.26, 2682
265, 915.881, 3196.48, 2779
266, 917.724, 3180.91, 2800
267, 927.335, 3191.49, 2758
268, 940.952, 3209.22, 2797
269, 944.954, 3217.43, 2764
270, 943.228, 3222.62, 2852
271, 955.102, 3186.45, 2788
272, 972.287, 3174.51, 2713
273, 965.647, 3186.36, 2693
274, 969.447, 3199.49, 2715
275, 971.706, 3208.24, 2774
276, 970.672, 3164.52, 2710
277, 965.957, 3232.71, 2689
278, 987.496, 3211.61, 2762
279, 1008.77, 3205.1, 2761
280, 988.316, 3193.31, 2809
281, 984.578, 3184.2, 2779
282, 991.675, 3206.28, 2684
283, 994.523, 3214.06, 2763
284, 997.089, 3175.66, 2706
285, 1005.34, 3218.84, 2583
286, 1006.72, 3184.16, 2774
287, 1006.6, 3182.43, 2699
288, 987.475, 3206.3, 2736
289, 976.643, 3230.78, 2705
290, 982.245, 3153.97, 2610
291, 980.098, 3165.15, 2716
292, 984.879, 3192.3, 2742
293, 985.102, 3182.13, 2646
294, 988.604, 3167.28, 2673
295, 998.362, 3202.61, 2743
296, 997.261, 3225.67, 2736
297, 1001.35, 3241.16, 2713
298, 1000.97, 3160.17, 2675
299, 1006.95, 3222.89, 2664
300, 1007.65, 3190.84, 2693
