Iterations, Time, Avg Cost, Best Cost 
1, 43.344, 6870.61, 5952
2, 50.491, 6464.8, 5052
3, 56.7188, 6098, 5322
4, 65.6904, 5816.91, 4793
5, 71.7319, 5538.07, 4604
6, 77.0168, 5274.28, 4630
7, 82.9435, 5142.77, 4271
8, 88.841, 5006.18, 3978
9, 98.007, 4895.37, 4073
10, 102.221, 4806.41, 4109
11, 110.188, 4675.88, 3943
12, 115.465, 4579.69, 3839
13, 121.536, 4452.26, 3836
14, 128.389, 4413.09, 3611
15, 135.735, 4312.31, 3675
16, 144.635, 4321.78, 3772
17, 148.313, 4244.15, 3673
18, 154.759, 4207.8, 3540
19, 163.761, 4216.26, 3651
20, 173.314, 4139.53, 3572
21, 185.589, 4055.71, 3372
22, 198.35, 4022.92, 3523
23, 193.21, 3981.16, 3386
24, 199.636, 3961.8, 3294
25, 205.38, 3907.39, 3355
26, 211.935, 3887.25, 3189
27, 219.203, 3860.86, 3335
28, 225.35, 3848.8, 3058
29, 231.734, 3849.36, 3249
30, 233.285, 3754.18, 3178
31, 250.262, 3752.25, 2957
32, 256.355, 3750, 3079
33, 255.112, 3704.36, 3243
34, 259.546, 3685.42, 3076
35, 272.82, 3645.89, 3063
36, 278.41, 3687.32, 3054
37, 282.679, 3602.31, 2835
38, 286.922, 3602.34, 2930
39, 294.273, 3643.13, 3154
40, 300.614, 3548.88, 2937
41, 305.812, 3585.3, 3047
42, 316.772, 3574.32, 2957
43, 320.338, 3570.57, 3089
44, 329.921, 3521.23, 2955
45, 337.336, 3519.55, 2868
46, 339.702, 3503.46, 2992
47, 351.951, 3527.68, 3037
48, 355.766, 3498.38, 2873
49, 366.004, 3507.88, 2845
50, 366.716, 3460.95, 2833
51, 374.426, 3427.73, 2934
52, 378.952, 3521.51, 2996
53, 393.092, 3425.81, 2825
54, 394.497, 3464.22, 2830
55, 401.394, 3454.51, 2994
56, 411.592, 3419.67, 2878
57, 410.849, 3421.72, 2868
58, 418.85, 3422.61, 2822
59, 428.779, 3441.77, 2789
60, 433.846, 3390.89, 2943
61, 447.597, 3384.02, 2982
62, 443.514, 3395.73, 2855
63, 451.413, 3382.93, 2646
64, 458.745, 3363.94, 2873
65, 461.618, 3374.96, 2778
66, 468.05, 3384.18, 2982
67, 474.049, 3378.32, 2831
68, 474.627, 3338.46, 2806
69, 476.779, 3320.93, 2906
70, 484.841, 3331.76, 2845
71, 489.241, 3300.19, 2852
72, 497.997, 3324.63, 2755
73, 502.104, 3323.68, 2719
74, 508.765, 3304.79, 2900
75, 515.293, 3376.09, 2868
76, 521.396, 3282.48, 2596
77, 531.44, 3314.6, 2723
78, 534.125, 3335.57, 2776
79, 540.068, 3290.01, 2767
80, 549.172, 3322.26, 2863
81, 555.432, 3308.8, 2811
82, 559.554, 3321.87, 2885
83, 569.195, 3293.2, 2848
84, 562.837, 3285.1, 2827
85, 581.522, 3283.51, 2859
86, 590.983, 3247.86, 2699
87, 593.019, 3281.2, 2746
88, 597.2, 3287.13, 2738
89, 604.483, 3253.01, 2745
90, 612.423, 3255.99, 2761
91, 616.958, 3239.09, 2785
92, 624.596, 3266.61, 2838
93, 629.267, 3242.23, 2737
94, 635.643, 3270.35, 2792
95, 645.912, 3247.32, 2772
96, 651.409, 3244.15, 2809
97, 655.343, 3274.04, 2666
98, 662.391, 3243.43, 2794
99, 668.038, 3289.85, 2630
100, 681.411, 3231.52, 2757
101, 686.854, 3250.16, 2736
102, 686.155, 3295.46, 2789
103, 697.233, 3276.64, 2741
104, 699.104, 3250.65, 2842
105, 709.176, 3290.57, 2708
106, 716.982, 3270.21, 2732
107, 718.959, 3243.24, 2610
108, 723.548, 3233.82, 2699
109, 734.364, 3196.74, 2679
110, 738.103, 3252.31, 2758
111, 744.067, 3195.4, 2688
112, 786.764, 3252.62, 2762
113, 765.026, 3217.79, 2671
114, 780.006, 3208.92, 2786
115, 759.453, 3185.48, 2654
116, 762.889, 3234.18, 2709
117, 785.607, 3220.59, 2775
118, 789.251, 3177.16, 2636
119, 794.26, 3198.41, 2789
120, 800.76, 3205.71, 2661
121, 810.739, 3196.54, 2721
122, 813.953, 3201.19, 2759
123, 825.171, 3231.97, 2807
124, 832.513, 3205.19, 2681
125, 853.494, 3206.34, 2725
126, 842.849, 3236.3, 2751
127, 848.076, 3223.07, 2754
128, 855.099, 3201.79, 2684
129, 858.31, 3192.45, 2653
130, 866.234, 3229.95, 2713
131, 873.923, 3185.86, 2730
132, 878.006, 3219.52, 2756
133, 884.541, 3217.3, 2762
134, 891.468, 3179.88, 2757
135, 900.827, 3189, 2673
136, 902.691, 3165.12, 2674
137, 910.29, 3189.07, 2856
138, 921.948, 3168.38, 2709
139, 924.95, 3186.64, 2650
140, 931.512, 3190.04, 2774
141, 935.337, 3178.56, 2607
142, 949.063, 3174.26, 2615
143, 947.965, 3177.77, 2741
144, 959.792, 3206.66, 2801
145, 962.349, 3253, 2736
146, 969.803, 3219.36, 2762
147, 974.061, 3226.42, 2799
148, 982.264, 3170.63, 2679
149, 989.129, 3186.4, 2773
150, 995.263, 3176.83, 2682
151, 999.928, 3202.53, 2731
152, 1011.42, 3188.18, 2820
153, 1010.41, 3237.52, 2658
154, 1021.48, 3211.06, 2748
155, 1022.54, 3201.78, 2830
156, 1034.31, 3214.15, 2604
157, 1037.76, 3218.48, 2784
158, 1048.79, 3199.88, 2773
159, 1049.15, 3211.92, 2729
160, 1055.99, 3217.85, 2692
161, 1061.66, 3204.73, 2711
162, 1068.37, 3243.34, 2824
163, 1074.74, 3139.74, 2737
164, 1081.9, 3246.87, 2731
165, 1086.08, 3219.6, 2737
166, 1082.9, 3170.24, 2694
167, 1084.9, 3163.48, 2798
168, 1106.75, 3210.16, 2593
169, 1118.24, 3178.84, 2728
170, 1119.19, 3169.69, 2764
171, 1125.98, 3266.08, 2848
172, 1130.7, 3202.68, 2737
173, 1141.16, 3187.78, 2708
174, 1146.3, 3189.12, 2751
175, 1150.8, 3165.99, 2759
176, 1160.49, 3209.13, 2783
177, 1167.34, 3170.18, 2576
178, 1177.43, 3184.93, 2754
179, 1177.98, 3170.43, 2612
180, 1184.54, 3201.23, 2803
181, 1191.29, 3170.97, 2757
182, 1195.08, 3198.47, 2651
183, 1203.74, 3187.14, 2709
184, 1204.21, 3171.21, 2645
185, 1212.03, 3160.16, 2603
186, 1226.51, 3189.37, 2745
187, 1226.14, 3231.74, 2626
188, 1236.29, 3219.76, 2669
189, 1244.37, 3188.8, 2637
190, 1250.8, 3143.46, 2694
191, 1257.24, 3156, 2594
192, 1259.41, 3196.05, 2706
193, 1269.86, 3180.99, 2719
194, 1272.81, 3166.38, 2603
195, 1277.66, 3217.49, 2712
196, 1285.78, 3219.23, 2753
197, 1293.05, 3179.79, 2784
198, 1300.95, 3195.49, 2787
199, 1323.55, 3208.8, 2752
200, 1320.28, 3178.3, 2648
201, 1331.59, 3200.19, 2775
202, 1331.37, 3204.87, 2729
203, 1329.7, 3159.09, 2723
204, 1334.12, 3147.81, 2701
205, 1343.35, 3166.12, 2699
206, 1350.03, 3165.16, 2751
207, 1352.97, 3210.59, 2668
208, 1371.72, 3172.74, 2667
209, 1373.19, 3180.83, 2722
210, 1373.35, 3215.72, 2677
211, 1381.28, 3203.46, 2756
212, 1388.36, 3168.42, 2643
213, 1392.48, 3169.67, 2654
214, 1400.27, 3216.51, 2731
215, 1410.18, 3172.73, 2653
216, 1422.95, 3201.62, 2702
217, 1418.65, 3185.29, 2653
218, 1429.78, 3149.7, 2721
219, 1437.37, 3186.82, 2743
220, 1444.61, 3180.2, 2727
221, 1447.49, 3185.5, 2706
222, 1454.42, 3187.93, 2728
223, 1461.51, 3188.29, 2669
224, 1464.48, 3225.48, 2679
225, 1477.87, 3150.89, 2697
226, 1479.25, 3201.05, 2589
227, 1490.08, 3169.04, 2723
228, 1491.96, 3165.46, 2699
229, 1484.69, 3160.62, 2657
230, 1512.92, 3150.66, 2699
231, 1508.78, 3158.91, 2684
232, 1514.24, 3157.97, 2589
233, 1523.57, 3184.99, 2722
234, 1533.92, 3149.25, 2726
235, 1538.66, 3172.25, 2724
236, 1549.23, 3165.57, 2700
237, 1547.44, 3165.91, 2630
238, 1552.53, 3185.89, 2666
239, 1562.25, 3184.33, 2550
240, 1557.54, 3183.58, 2656
241, 1574.1, 3195.57, 2717
242, 1590.58, 3195.59, 2734
243, 1584.81, 3176.31, 2706
244, 1589.54, 3169.68, 2788
245, 1596.52, 3173.05, 2712
246, 1606.08, 3171.63, 2575
247, 1609.75, 3173.21, 2712
248, 1616.91, 3184.44, 2575
249, 1627.32, 3194.09, 2766
250, 1629.87, 3173.09, 2657
251, 1636.71, 3169.76, 2784
252, 1649.85, 3161.06, 2633
253, 1651.51, 3199.87, 2584
254, 1658.56, 3177.04, 2765
255, 1662.87, 3178.44, 2752
256, 1665.22, 3186.35, 2716
257, 1673.78, 3198.93, 2667
258, 1679.83, 3184.58, 2804
259, 1687.69, 3173.8, 2704
260, 1691.82, 3160.98, 2691
261, 1711.25, 3213.99, 2678
262, 1705.27, 3201.93, 2564
263, 1710.18, 3177.79, 2710
264, 1717.16, 3159.92, 2726
265, 1739.04, 3155.07, 2745
266, 1737.58, 3183.15, 2776
267, 1749.35, 3189.67, 2751
268, 1745.34, 3181.41, 2661
269, 1749.72, 3203.81, 2683
270, 1754.02, 3179.38, 2700
271, 1778.62, 3190.1, 2634
272, 1770.34, 3180.43, 2697
273, 1773.92, 3146.64, 2649
274, 1792.92, 3168.95, 2633
275, 1794.51, 3161.32, 2664
276, 1800.24, 3149.74, 2671
277, 1787.78, 3153.76, 2672
278, 1815.36, 3176.5, 2689
279, 1813.94, 3144.44, 2629
280, 1804.57, 3140.81, 2734
281, 1800.03, 3230.06, 2675
282, 1837.47, 3141.73, 2579
283, 1841.22, 3174.44, 2697
284, 1851.84, 3191.43, 2726
285, 1857.36, 3192.45, 2714
286, 1860.25, 3197.73, 2775
287, 1874.46, 3171.33, 2623
288, 1875.26, 3223.65, 2656
289, 1875.44, 3185.35, 2714
290, 1883.19, 3142.88, 2725
291, 1889.48, 3205.13, 2695
292, 1900.41, 3190.39, 2658
293, 1905.78, 3115.67, 2724
294, 1910.52, 3165.46, 2666
295, 1914.78, 3161.09, 2690
296, 1922.34, 3194.36, 2757
297, 1931.95, 3210.61, 2766
298, 1936.47, 3190.9, 2587
299, 1941.57, 3211.32, 2677
300, 1948.94, 3168.88, 2776
