Iterations, Time, Avg Cost, Best Cost 
180, 3273.21, 3116.73, 2669
181, 3189.44, 3119.37, 2524
182, 3305.65, 3083.55, 2685
183, 3088.2, 3150.81, 2647
184, 3475.23, 3078.75, 2636
185, 3124.57, 3109.83, 2762
186, 3386.45, 3110.46, 2672
187, 3085.22, 3106.62, 2631
188, 3206.07, 3126.37, 2709
189, 3162.82, 3105.27, 2651
190, 3386.61, 3126.29, 2747
191, 3442.69, 3101.58, 2690
192, 3505.33, 3091.95, 2671
193, 3471.44, 3081.56, 2731
194, 3484.42, 3092.3, 2669
195, 3275.72, 3115.31, 2657
196, 3376, 3087.41, 2547
197, 3481.68, 3117.14, 2673
198, 3441.74, 3121.32, 2636
199, 3626.93, 3060.29, 2649
200, 3536.98, 3072.44, 2675
201, 3551.38, 3103.12, 2640
202, 3467.61, 3098.14, 2674
203, 3684.44, 3106.17, 2663
204, 3701.78, 3095.05, 2617
205, 3599.01, 3118.9, 2640
206, 3502.3, 3080.79, 2679
207, 3617.1, 3088.79, 2619
208, 3752.11, 3084.94, 2691
209, 3773.98, 3024.84, 2622
210, 3611.96, 3079.99, 2651
211, 3582.93, 3061.46, 2687
212, 3829.71, 3099.51, 2636
213, 3449.16, 3091.64, 2740
214, 3694.26, 3072.98, 2678
215, 3566.43, 3125, 2743
216, 3858.34, 3097.48, 2623
217, 3780.46, 3081.21, 2739
218, 3728.73, 3078.32, 2616
219, 3667.16, 3083.35, 2672
220, 3824.81, 3105.49, 2637
221, 3724.76, 3100.94, 2638
222, 3760.72, 3096.9, 2675
223, 3813.72, 3047.77, 2704
224, 3804.97, 3092.49, 2640
225, 3689.01, 3099.59, 2703
226, 3863.25, 3071.9, 2665
227, 4037.68, 3059.69, 2675
228, 3724.89, 3127.81, 2697
229, 4035.78, 3076.9, 2657
230, 3798.37, 3082.98, 2617
231, 4115.32, 3041.96, 2564
232, 4140.92, 3053.68, 2635
233, 4120.81, 3088.38, 2687
234, 4115.03, 3098.24, 2753
235, 4201.87, 3052.28, 2550
236, 4124.12, 3049.02, 2682
237, 4029.22, 3072.45, 2667
238, 4135.18, 3061.33, 2642
239, 4407.46, 3081.51, 2662
240, 4120.06, 3050.99, 2689
241, 4004.48, 3048.72, 2651
242, 4145.74, 3030.38, 2690
243, 4308.98, 3067.18, 2658
244, 4294.77, 3083.94, 2549
245, 4415.05, 3035.03, 2651
246, 4161.84, 3093.59, 2664
247, 3998.63, 3049.43, 2667
248, 4041.17, 3077.39, 2673
249, 3999.91, 3063.52, 2640
250, 3844.12, 3085.95, 2642
251, 3886.82, 3106.58, 2697
252, 3930.95, 3071.58, 2685
253, 4030.85, 3076.42, 2701
254, 4211.54, 3038.18, 2684
255, 4217.62, 3066.46, 2677
256, 4158.12, 3030, 2628
257, 4006.68, 3076.01, 2723
258, 4376.12, 3115.01, 2751
259, 4406.95, 3098.24, 2603
260, 4359.64, 3082.5, 2643
261, 4536.53, 3060.79, 2664
262, 4139.88, 3053.15, 2691
263, 4256.6, 3062.01, 2641
264, 4622.47, 3061.33, 2648
265, 4369.27, 3046.65, 2709
266, 4460.38, 3058.36, 2664
267, 4335.44, 3050.99, 2622
268, 4370.74, 3067.51, 2713
269, 4013.39, 3093.02, 2717
270, 4503.43, 3033.13, 2657
271, 4582.16, 3030.57, 2631
272, 4488.6, 3057.33, 2625
273, 4304.15, 3060.34, 2698
274, 4213.69, 3079.72, 2664
275, 4344.42, 3058.67, 2652
276, 4349.69, 3109.83, 2653
277, 4258.76, 3097.31, 2657
278, 4568.57, 3039.2, 2712
279, 4960.97, 3025.83, 2659
280, 4677.6, 3013.35, 2613
281, 4434.27, 3044.49, 2566
282, 4534.62, 3024.96, 2636
283, 4481.22, 3035.95, 2629
284, 4687.69, 3028.46, 2647
285, 4521.74, 3070.58, 2632
286, 4481.05, 3036.8, 2640
287, 4557.64, 3023.89, 2581
288, 4685.23, 3051.17, 2681
289, 4566.26, 3062.82, 2619
290, 4428.35, 3056.04, 2681
291, 4590.22, 3084.65, 2704
292, 4752.43, 2997.57, 2666
293, 4447.96, 2994.11, 2585
294, 4781.25, 3042.28, 2628
295, 4663.77, 3038.56, 2652
296, 4961.64, 3003.14, 2631
297, 4400, 3070.55, 2692
298, 4793.87, 3034.07, 2632
299, 4562.92, 3065.23, 2640
300, 4904.77, 3006.84, 2609
