Generation,Normal Average,Memetic Average
0,259.175,294.975
1,262.575,295
2,273.15,295
3,275.025,295
4,276.325,295
5,277,295
6,278.975,295
7,280,295
8,282.2,295
9,282.9,295
10,282.975,295
11,283,295
12,285.1,295
13,285.1,295
14,285.4,295
15,285.425,295
16,287.375,295
17,287.425,295
18,287.55,295
19,288.45,295
20,289.5,295
21,289.725,295
22,289.75,295
23,289.775,295
24,289.95,295
25,290.1,295
26,290.275,295
27,291.025,295
28,291.025,295
29,291.025,295
30,291.025,295
31,291.025,295
32,291.175,295
33,291.75,295
34,291.825,295
35,291.85,295
36,292,295
37,292,295
38,292.05,295
39,292.175,295
40,292.175,295
41,292.35,295
42,292.35,295
43,292.35,295
44,292.375,295
45,292.475,295
46,292.75,295
47,292.75,295
48,292.85,295
49,292.85,295
50,292.85,295
51,292.925,295
52,292.95,295
53,293.025,295
54,293.025,295
55,293.025,295
56,293.025,295
57,293.025,295
58,293.05,295
59,293.05,295
60,293.2,295
61,293.2,295
62,293.2,295
63,293.55,295
64,293.55,295
65,293.55,295
66,293.55,295
67,293.55,295
68,293.575,295
69,293.575,295
70,293.675,295
71,293.7,295
72,293.7,295
73,293.7,295
74,293.7,295
75,293.7,295
76,293.75,295
77,293.8,295
78,293.8,295
79,293.8,295
80,293.975,295
81,294.05,295
82,294.075,295
83,294.075,295
84,294.075,295
85,294.075,295
86,294.075,295
87,294.1,295
88,294.1,295
89,294.1,295
90,294.1,295
91,294.1,295
92,294.1,295
93,294.1,295
94,294.1,295
95,294.125,295
96,294.125,295
97,294.25,295
98,294.25,295
99,294.3,295
100,294.3,295
101,294.3,295
102,294.35,295
103,294.35,295
104,294.35,295
105,294.35,295
106,294.35,295
107,294.35,295
108,294.375,295
109,294.375,295
110,294.375,295
111,294.375,295
112,294.375,295
113,294.375,295
114,294.425,295
115,294.425,295
116,294.425,295
117,294.475,295
118,294.5,295
119,294.5,295
120,294.575,295
121,294.575,295
122,294.575,295
123,294.7,295
124,294.7,295
125,294.7,295
126,294.7,295
127,294.7,295
128,294.7,295
129,294.7,295
130,294.7,295
131,294.7,295
132,294.7,295
133,294.7,295
134,294.7,295
135,294.7,295
136,294.7,295
137,294.7,295
138,294.7,295
139,294.725,295
140,294.725,295
141,294.725,295
142,294.75,295
143,294.75,295
144,294.75,295
145,294.75,295
146,294.75,295
147,294.75,295
148,294.75,295
149,294.75,295
150,294.75,295
151,294.75,295
152,294.75,295
153,294.75,295
154,294.75,295
155,294.75,295
156,294.75,295
157,294.75,295
158,294.75,295
159,294.75,295
160,294.75,295
161,294.75,295
162,294.75,295
163,294.775,295
164,294.775,295
165,294.775,295
166,294.775,295
167,294.8,295
168,294.825,295
169,294.825,295
170,294.825,295
171,294.825,295
172,294.825,295
173,294.825,295
174,294.825,295
175,294.825,295
176,294.825,295
177,294.825,295
178,294.825,295
179,294.825,295
180,294.825,295
181,294.825,295
182,294.825,295
183,294.825,295
