Generation,Normal Average,Memetic Average
0,376.313,481.069
1,385.021,481.069
2,391.658,481.069
3,396.964,481.069
4,404.703,481.069
5,408.256,481.069
6,413.115,481.069
7,416.882,481.069
8,421.307,481.069
9,424.863,481.069
10,427.928,481.069
11,432.724,481.069
12,436.343,481.069
13,437.843,481.069
14,444.196,481.069
15,445.606,481.069
16,448.856,481.069
17,450.513,481.069
18,453.783,481.069
19,456.482,481.069
20,457.114,481.069
21,460.071,481.069
22,461.049,481.069
23,465.7,481.069
24,466.157,481.069
25,466.894,481.069
26,467.48,481.069
27,469.115,481.069
28,471.551,481.069
29,472.146,481.069
30,472.146,481.069
31,472.775,481.069
32,473.004,481.069
33,473.67,481.069
34,474.494,481.069
35,474.494,481.069
36,474.494,481.069
37,474.494,481.069
38,474.494,481.069
39,474.651,481.069
40,474.997,481.069
41,475.16,481.069
42,475.299,481.069
43,475.299,481.069
44,475.439,481.069
45,475.439,481.069
46,475.439,481.069
47,475.439,481.069
48,475.439,481.069
49,475.439,481.069
50,475.439,481.069
51,475.439,481.069
52,475.439,481.069
53,475.439,481.069
54,475.439,481.069
55,475.557,481.069
56,475.696,481.069
57,475.836,481.069
58,475.836,481.069
59,475.836,481.069
60,475.836,481.069
61,475.836,481.069
62,475.836,481.069
63,475.976,481.069
64,476.204,481.069
65,476.204,481.069
66,476.204,481.069
67,476.227,481.069
68,476.227,481.069
69,476.227,481.069
70,476.227,481.069
71,477.187,481.069
72,478.563,481.069
73,478.563,481.069
74,478.563,481.069
75,478.774,481.069
76,479.229,481.069
77,479.229,481.069
78,479.229,481.069
79,479.229,481.069
80,479.458,481.069
81,479.686,481.069
82,479.686,481.069
83,479.984,481.069
84,480.055,481.069
85,480.055,481.069
86,480.194,481.069
87,480.334,481.069
88,480.492,481.069
89,480.492,481.069
90,480.492,481.069
91,480.79,481.069
92,480.79,481.069
93,480.79,481.069
94,480.79,481.069
95,480.79,481.069
96,480.79,481.069
97,480.79,481.069
98,480.79,481.069
99,480.79,481.069
100,480.79,481.069
101,480.79,481.069
102,480.79,481.069
103,480.79,481.069
104,480.79,481.069
105,480.79,481.069
106,480.93,481.069
107,480.93,481.069
108,480.93,481.069
109,480.93,481.069
110,480.93,481.069
111,480.93,481.069
112,480.93,481.069
113,480.93,481.069
114,480.93,481.069
115,480.93,481.069
116,480.93,481.069
117,480.93,481.069
118,480.93,481.069
119,480.93,481.069
120,480.93,481.069
121,480.93,481.069
122,480.93,481.069
123,480.93,481.069
124,480.93,481.069
125,480.93,481.069
126,480.93,481.069
127,480.93,481.069
128,480.93,481.069
129,480.93,481.069
130,480.93,481.069
131,480.93,481.069
132,480.93,481.069
133,480.93,481.069
134,480.93,481.069
135,480.93,481.069
136,480.93,481.069
137,480.93,481.069
138,480.93,481.069
139,480.93,481.069
140,480.93,481.069
141,480.93,481.069
142,480.93,481.069
143,480.93,481.069
144,480.93,481.069
145,480.93,481.069
146,480.93,481.069
147,480.93,481.069
148,480.93,481.069
149,480.93,481.069
150,480.93,481.069
151,480.93,481.069
