Generation,Normal Average,Memetic Average
0,9730.3,9745.02
1,9730.33,9750.77
2,9730.62,9751.2
3,9730.73,9752.08
4,9730.73,9752.73
5,9730.8,9753.27
6,9731,9753.98
7,9731,9754.5
8,9731.02,9754.95
9,9731.12,9754.95
10,9731.12,9755.27
11,9731.12,9756.05
12,9731.12,9756.1
13,9731.27,9756.52
14,9731.27,9756.98
15,9731.52,9756.98
16,9731.52,9757
17,9731.52,9757.05
18,9731.73,9757.17
19,9732.15,9757.58
20,9732.58,9757.65
21,9732.85,9757.77
22,9732.85,9757.85
23,9733.12,9757.95
24,9733.12,9758.1
25,9733.27,9758.27
26,9733.35,9758.42
27,9733.9,9758.5
28,9733.9,9758.52
29,9734.95,9759.05
30,9735.17,9759.25
31,9735.25,9759.65
32,9735.65,9759.75
33,9735.67,9759.8
34,9735.67,9760.17
35,9735.67,9760.42
36,9735.77,9760.45
37,9735.85,9760.48
38,9735.88,9760.52
39,9735.88,9760.6
40,9735.88,9760.6
41,9736.1,9760.98
42,9736.3,9760.98
43,9736.33,9761.08
44,9736.33,9761.25
45,9736.4,9761.3
46,9736.4,9761.35
47,9736.75,9761.35
48,9737.12,9761.52
49,9737.58,9761.9
50,9737.98,9761.9
51,9738.45,9762.08
52,9738.48,9762.17
53,9738.55,9762.17
54,9738.65,9762.38
55,9739.12,9762.45
56,9739.3,9762.48
57,9739.3,9762.5
58,9739.35,9762.52
59,9739.8,9762.65
60,9739.8,9762.65
61,9740,9762.88
62,9740,9762.88
63,9740,9762.88
64,9740.35,9762.88
65,9740.35,9763.25
66,9740.55,9763.55
67,9740.58,9763.65
68,9740.67,9763.65
69,9740.77,9763.92
70,9741.05,9764.02
71,9741.05,9764.02
72,9741.1,9764.02
73,9741.3,9764.02
74,9741.48,9764.02
75,9741.48,9764.02
76,9741.48,9764.02
77,9741.52,9764.02
78,9742.08,9764.02
79,9742.12,9764.02
80,9742.25,9764.1
81,9742.7,9764.17
82,9742.7,9764.17
83,9742.77,9764.38
84,9742.92,9764.38
85,9743.02,9764.38
86,9743.1,9764.45
87,9743.27,9764.48
88,9743.33,9764.48
89,9743.6,9764.48
90,9743.88,9764.58
91,9744.3,9764.6
92,9744.35,9764.6
93,9744.42,9764.6
94,9744.83,9764.6
95,9744.95,9764.6
96,9745.2,9764.77
97,9745.2,9764.77
98,9745.2,9764.77
99,9745.25,9764.77
100,9745.25,9764.85
101,9745.25,9764.95
102,9745.25,9764.95
103,9745.48,9764.95
104,9745.48,9764.95
105,9745.48,9764.95
106,9745.48,9764.95
107,9745.48,9764.95
108,9745.5,9764.95
109,9745.5,9764.95
110,9745.52,9764.95
111,9745.55,9764.95
112,9745.55,9764.98
113,9745.67,9764.98
114,9745.67,9764.98
115,9745.67,9765
116,9745.67,9765
117,9746.02,9765
118,9746.1,9765
119,9746.38,9765.08
120,9746.38,9765.08
121,9746.38,9765.08
122,9746.38,9765.1
123,9746.38,9765.1
124,9746.38,9765.1
125,9746.67,9765.1
126,9747.05,9765.1
127,9747.35,9765.1
128,9747.4,9765.1
129,9747.4,9765.1
130,9747.4,9765.1
131,9747.52,9765.1
132,9747.52,9765.1
133,9747.52,9765.12
134,9747.58,9765.12
135,9747.88,9765.12
136,9747.9,9765.12
137,9747.9,9765.12
138,9748.1,9765.12
139,9748.1,9765.12
140,9748.2,9765.12
141,9748.48,9765.23
142,9748.48,9765.23
143,9748.48,9765.33
144,9748.75,9765.33
145,9748.75,9765.33
146,9748.88,9765.42
147,9748.88,9765.42
148,9749.02,9765.42
149,9749.15,9765.42
150,9749.15,9765.42
151,9749.27,9765.65
152,9749.27,9765.65
153,9749.27,9765.65
154,9749.27,9765.65
155,9749.27,9765.65
156,9749.33,9765.75
157,9749.33,9765.75
158,9749.6,9765.75
159,9749.6,9765.75
160,9749.98,9765.77
161,9749.98,9765.77
162,9749.98,9765.88
163,9750.25,9765.88
164,9750.48,9765.88
165,9750.48,9765.88
166,9750.65,9765.88
167,9750.65,9765.88
168,9750.65,9765.88
169,9750.65,9765.98
170,9750.65,9765.98
171,9750.65,9765.98
172,9751.1,9765.98
173,9751.15,9765.98
174,9751.17,9765.98
175,9751.38,9765.98
176,9751.42,9765.98
177,9751.42,9765.98
178,9751.42,9765.98
179,9751.42,9765.98
180,9751.42,9765.98
181,9751.42,9765.98
182,9751.58,9766.08
183,9751.58,9766.08
184,9751.58,9766.08
185,9751.88,9766.08
186,9751.88,9766.08
187,9751.95,9766.17
188,9752.17,9766.17
189,9752.3,9766.17
190,9752.58,9766.17
191,9752.75,9766.17
192,9752.75,9766.17
193,9752.83,9766.17
194,9752.83,9766.17
195,9752.95,9766.17
196,9753.12,9766.17
197,9753.12,9766.17
198,9753.12,9766.17
199,9753.23,9766.17
200,9753.23,9766.17
201,9753.23,9766.17
202,9753.23,9766.17
203,9753.23,9766.17
204,9753.23,9766.17
205,9753.23,9766.17
206,9753.23,9766.17
207,9753.5,9766.17
208,9753.5,9766.17
209,9753.5,9766.17
210,9753.5,9766.17
211,9753.67,9766.17
212,9753.67,9766.17
213,9753.8,9766.17
214,9753.9,9766.17
215,9753.9,9766.17
216,9753.95,9766.17
217,9754.02,9766.17
218,9754.02,9766.17
219,9754.02,9766.17
220,9754.02,9766.17
221,9754.02,9766.17
222,9754.02,9766.17
223,9754.15,9766.17
224,9754.55,9766.3
225,9754.55,9766.3
226,9754.55,9766.3
227,9754.55,9766.3
228,9754.6,9766.3
229,9754.7,9766.3
230,9754.92,9766.3
231,9754.92,9766.3
232,9754.92,9766.3
233,9754.95,9766.3
234,9754.95,9766.3
235,9754.95,9766.3
236,9755.08,9766.3
237,9755.08,9766.3
238,9755.08,9766.3
239,9755.08,9766.3
240,9755.23,9766.3
241,9755.23,9766.3
242,9755.23,9766.3
243,9755.23,9766.3
244,9755.23,9766.3
245,9755.23,9766.3
246,9755.27,9766.3
247,9755.3,9766.3
248,9755.4,9766.3
249,9755.4,9766.3
250,9755.4,9766.3
251,9755.45,9766.3
252,9755.5,9766.3
253,9755.5,9766.4
254,9755.5,9766.4
255,9755.52,9766.4
256,9755.52,9766.4
257,9755.6,9766.4
258,9755.88,9766.4
259,9755.88,9766.4
260,9755.88,9766.4
261,9755.88,9766.4
262,9755.88,9766.4
263,9755.88,9766.4
264,9755.88,9766.4
265,9755.88,9766.4
266,9755.88,9766.4
267,9755.88,9766.4
268,9755.92,9766.4
269,9755.92,9766.4
270,9755.92,9766.4
271,9755.92,9766.4
272,9755.92,9766.4
273,9755.92,9766.4
274,9755.92,9766.4
275,9755.95,9766.4
276,9755.95,9766.4
277,9756.15,9766.4
278,9756.27,9766.5
279,9756.27,9766.5
280,9756.27,9766.5
281,9756.27,9766.5
282,9756.42,9766.5
283,9756.52,9766.5
284,9756.52,9766.5
285,9756.52,9766.5
286,9756.52,9766.5
287,9756.52,9766.5
288,9756.52,9766.5
289,9756.62,9766.5
290,9756.62,9766.5
291,9756.62,9766.5
292,9756.62,9766.5
293,9756.62,9766.5
294,9756.62,9766.5
295,9756.62,9766.5
296,9757,9766.5
297,9757,9766.5
298,9757,9766.5
299,9757,9766.5
300,9757,9766.5
301,9757,9766.5
302,9757.08,9766.5
303,9757.08,9766.5
304,9757.23,9766.5
305,9757.23,9766.5
306,9757.25,9766.5
307,9757.25,9766.5
308,9757.25,9766.5
309,9757.27,9766.5
