Generation,Normal Average,Memetic Average
0,127.375,130
1,127.6,130
2,127.6,130
3,127.6,130
4,127.6,130
5,127.9,130
6,127.9,130
7,128.2,130
8,128.2,130
9,128.5,130
10,128.5,130
11,128.5,130
12,128.5,130
13,128.8,130
14,128.8,130
15,128.8,130
16,128.8,130
17,128.8,130
18,129.1,130
19,129.4,130
20,129.4,130
21,129.7,130
22,129.7,130
23,129.7,130
24,129.7,130
25,130,130
26,130,130
27,130,130
28,130,130
29,130,130
30,130,130
31,130,130
32,130,130
33,130,130
34,130,130
35,130,130
36,130,130
37,130,130
38,130,130
39,130,130
40,130,130
41,130,130
42,130,130
43,130,130
44,130,130
45,130,130
46,130,130
47,130,130
48,130,130
49,130,130
50,130,130
51,130,130
52,130,130
53,130,130
54,130,130
55,130,130
56,130,130
57,130,130
58,130,130
59,130,130
60,130,130
61,130,130
62,130,130
63,130,130
64,130,130
65,130,130
66,130,130
67,130,130
68,130,130
69,130,130
70,130,130
71,130,130
72,130,130
73,130,130
74,130,130
75,130,130
76,130,130
77,130,130
78,130,130
79,130,130
80,130,130
81,130,130
82,130,130
83,130,130
84,130,130
85,130,130
86,130,130
87,130,130
88,130,130
89,130,130
90,130,130
91,130,130
92,130,130
93,130,130
94,130,130
95,130,130
96,130,130
97,130,130
98,130,130
99,130,130
100,130,130
101,130,130
102,130,130
103,130,130
104,130,130
105,130,130
106,130,130
107,130,130
108,130,130
109,130,130
110,130,130
111,130,130
112,130,130
113,130,130
114,130,130
115,130,130
116,130,130
117,130,130
118,130,130
119,130,130
120,130,130
121,130,130
122,130,130
123,130,130
124,130,130
125,130,130
126,130,130
127,130,130
128,130,130
129,130,130
130,130,130
131,130,130
132,130,130
133,130,130
134,130,130
135,130,130
136,130,130
137,130,130
138,130,130
139,130,130
140,130,130
141,130,130
142,130,130
143,130,130
144,130,130
145,130,130
146,130,130
147,130,130
148,130,130
149,130,130
150,130,130
151,130,130
152,130,130
153,130,130
154,130,130
155,130,130
156,130,130
157,130,130
158,130,130
159,130,130
160,130,130
161,130,130
162,130,130
163,130,130
164,130,130
165,130,130
166,130,130
167,130,130
168,130,130
169,130,130
170,130,130
171,130,130
172,130,130
173,130,130
174,130,130
175,130,130
176,130,130
177,130,130
178,130,130
179,130,130
180,130,130
181,130,130
182,130,130
183,130,130
184,130,130
185,130,130
186,130,130
187,130,130
