Average Time,Best Value,Generations,Population Size,Crossover Rate,Mutation Rate,Elitism Count,Generation of Best Value
0.00010995,23,100,4,0.5,0.05,1,0
0.0001079,23,100,4,0.5,0.06,1,0
0.00012065,23,100,4,0.5,0.07,1,0
0.00012875,23,100,4,0.5,0.08,1,0
0.0001188,23,100,4,0.5,0.09,1,0
0.00010925,23,100,4,0.5,0.1,1,0
0.0001181,23,100,4,0.6,0.05,1,0
0.0001117,23,100,4,0.6,0.06,1,0
0.00012725,23,100,4,0.6,0.07,1,0
0.0001148,23,100,4,0.6,0.08,1,0
0.0001197,23,100,4,0.6,0.09,1,0
0.00013825,23,100,4,0.6,0.1,1,0
0.0001127,23,100,4,0.7,0.05,1,0
0.00010825,23,100,4,0.7,0.06,1,0
0.0001099,23,100,4,0.7,0.07,1,0
0.00011125,23,100,4,0.7,0.08,1,0
0.0001101,23,100,4,0.7,0.09,1,0
0.00013295,23,100,4,0.7,0.1,1,0
0.0001212,23,100,4,0.8,0.05,1,0
0.00010955,23,100,4,0.8,0.06,1,0
0.00010885,23,100,4,0.8,0.07,1,0
0.0001149,23,100,4,0.8,0.08,1,0
0.0001098,23,100,4,0.8,0.09,1,0
0.00011135,23,100,4,0.8,0.1,1,0
0.0001148,23,100,4,0.9,0.05,1,0
0.0001294,23,100,4,0.9,0.06,1,0
0.000112,23,100,4,0.9,0.07,1,0
0.00011425,23,100,4,0.9,0.08,1,0
0.00010855,23,100,4,0.9,0.09,1,0
0.0001099,23,100,4,0.9,0.1,1,0
0.00020515,23,200,4,0.5,0.05,1,0
0.0002091,23,200,4,0.5,0.06,1,0
0.0002034,23,200,4,0.5,0.07,1,0
0.0002037,23,200,4,0.5,0.08,1,0
0.00020255,23,200,4,0.5,0.09,1,0
0.00020495,23,200,4,0.5,0.1,1,0
0.0002095,23,200,4,0.6,0.05,1,0
0.00021135,23,200,4,0.6,0.06,1,0
0.0002094,23,200,4,0.6,0.07,1,0
0.00021295,23,200,4,0.6,0.08,1,0
0.00021135,23,200,4,0.6,0.09,1,0
0.00021255,23,200,4,0.6,0.1,1,0
0.00020945,23,200,4,0.7,0.05,1,0
0.00021425,23,200,4,0.7,0.06,1,0
0.00020865,23,200,4,0.7,0.07,1,0
0.0002081,23,200,4,0.7,0.08,1,0
0.00020335,23,200,4,0.7,0.09,1,0
0.00020465,23,200,4,0.7,0.1,1,0
0.0002045,23,200,4,0.8,0.05,1,0
0.0002101,23,200,4,0.8,0.06,1,0
0.0002017,23,200,4,0.8,0.07,1,0
0.000204,23,200,4,0.8,0.08,1,0
0.0002032,23,200,4,0.8,0.09,1,0
0.0002069,23,200,4,0.8,0.1,1,0
0.00020105,23,200,4,0.9,0.05,1,0
0.00020215,23,200,4,0.9,0.06,1,0
0.00020065,23,200,4,0.9,0.07,1,0
0.00020705,23,200,4,0.9,0.08,1,0
0.00020285,23,200,4,0.9,0.09,1,0
0.00020295,23,200,4,0.9,0.1,1,0
0.00029495,23,300,4,0.5,0.05,1,0
0.00030075,23,300,4,0.5,0.06,1,0
0.00029745,23,300,4,0.5,0.07,1,0
0.0003036,23,300,4,0.5,0.08,1,0
