Average Time,Best Value,Generations,Population Size,Crossover Rate,Mutation Rate,Elitism Count,Generation of Best Value
0.0025726,905,100,20,0.5,0.05,2,0
0.00257485,946,100,20,0.5,0.06,2,0
0.0025943,922,100,20,0.5,0.07,2,0
0.00261585,883,100,20,0.5,0.08,2,0
0.0025917,941,100,20,0.5,0.09,2,0
0.0025633,924,100,20,0.5,0.1,2,0
0.002717,882,100,20,0.6,0.05,2,0
0.0027068,874,100,20,0.6,0.06,2,0
0.0026951,896,100,20,0.6,0.07,2,0
0.00270665,930,100,20,0.6,0.08,2,0
0.00272065,877,100,20,0.6,0.09,2,0
0.0026714,981,100,20,0.6,0.1,2,0
0.00286835,884,100,20,0.7,0.05,2,0
0.00278545,874,100,20,0.7,0.06,2,31
0.0027986,912,100,20,0.7,0.07,2,0
0.0028283,924,100,20,0.7,0.08,2,0
0.0028736,872,100,20,0.7,0.09,2,0
0.0027946,921,100,20,0.7,0.1,2,0
0.0029433,882,100,20,0.8,0.05,2,0
0.0028895,895,100,20,0.8,0.06,2,51
0.00297825,886,100,20,0.8,0.07,2,83
0.0028961,881,100,20,0.8,0.08,2,0
0.002968,906,100,20,0.8,0.09,2,0
0.003004,874,100,20,0.8,0.1,2,83
0.00302115,912,100,20,0.9,0.05,2,0
0.00305935,924,100,20,0.9,0.06,2,0
0.0030886,909,100,20,0.9,0.07,2,0
0.00301465,893,100,20,0.9,0.08,2,28
0.00308485,903,100,20,0.9,0.09,2,0
0.0030343,865,100,20,0.9,0.1,2,79
0.00490215,903,200,20,0.5,0.05,2,158
0.0048296,911,200,20,0.5,0.06,2,0
0.0049718,890,200,20,0.5,0.07,2,107
0.0050228,943,200,20,0.5,0.08,2,0
0.00490605,901,200,20,0.5,0.09,2,0
0.00498635,941,200,20,0.5,0.1,2,27
0.0050813,871,200,20,0.6,0.05,2,13
0.0051604,887,200,20,0.6,0.06,2,0
0.00505655,897,200,20,0.6,0.07,2,45
0.0051717,867,200,20,0.6,0.08,2,28
0.0051797,889,200,20,0.6,0.09,2,0
0.0051306,930,200,20,0.6,0.1,2,0
0.0054537,887,200,20,0.7,0.05,2,134
0.00551585,863,200,20,0.7,0.06,2,141
0.00543975,898,200,20,0.7,0.07,2,199
0.0054633,955,200,20,0.7,0.08,2,0
0.00533165,911,200,20,0.7,0.09,2,0
0.005459,889,200,20,0.7,0.1,2,0
0.005598,923,200,20,0.8,0.05,2,13
0.00556595,898,200,20,0.8,0.06,2,0
0.005598,912,200,20,0.8,0.07,2,145
0.0054718,926,200,20,0.8,0.08,2,0
0.00549505,868,200,20,0.8,0.09,2,0
0.00555055,906,200,20,0.8,0.1,2,46
0.0058885,941,200,20,0.9,0.05,2,0
0.0059455,903,200,20,0.9,0.06,2,0
0.0057831,912,200,20,0.9,0.07,2,0
0.0058547,876,200,20,0.9,0.08,2,85
0.0058838,949,200,20,0.9,0.09,2,0
0.00566335,906,200,20,0.9,0.1,2,0
0.0071974,904,300,20,0.5,0.05,2,0
0.00725055,881,300,20,0.5,0.06,2,0
0.00713775,888,300,20,0.5,0.07,2,0
0.00720185,918,300,20,0.5,0.08,2,0
0.0072396,907,300,20,0.5,0.09,2,194
0.00736,898,300,20,0.5,0.1,2,262
0.00759625,907,300,20,0.6,0.05,2,0
0.0075971,955,300,20,0.6,0.06,2,0
0.00766335,926,300,20,0.6,0.07,2,248
0.00750595,915,300,20,0.6,0.08,2,0
0.00752215,924,300,20,0.6,0.09,2,0
0.00760525,909,300,20,0.6,0.1,2,154
0.00778245,907,300,20,0.7,0.05,2,0
0.00799285,916,300,20,0.7,0.06,2,221
0.00785255,918,300,20,0.7,0.07,2,0
0.00797935,878,300,20,0.7,0.08,2,186
0.00808915,937,300,20,0.7,0.09,2,207
0.00802485,909,300,20,0.7,0.1,2,0
0.00837745,922,300,20,0.8,0.05,2,192
0.0081535,934,300,20,0.8,0.06,2,0
0.0084025,926,300,20,0.8,0.07,2,0
0.008286,902,300,20,0.8,0.08,2,0
0.00821785,934,300,20,0.8,0.09,2,0
0.00831425,919,300,20,0.8,0.1,2,0
0.0085379,941,300,20,0.9,0.05,2,0
0.008737,947,300,20,0.9,0.06,2,34
0.00850565,901,300,20,0.9,0.07,2,0
0.0088733,941,300,20,0.9,0.08,2,0
0.00868805,893,300,20,0.9,0.09,2,12
0.0087467,927,300,20,0.9,0.1,2,0
0.0061212,952,100,40,0.5,0.05,4,0
0.0059855,905,100,40,0.5,0.06,4,0
0.006266,902,100,40,0.5,0.07,4,0
0.0060808,920,100,40,0.5,0.08,4,0
0.00605765,912,100,40,0.5,0.09,4,0
0.0060965,922,100,40,0.5,0.1,4,0
0.00645085,891,100,40,0.6,0.05,4,0
0.0062483,904,100,40,0.6,0.06,4,0
0.0064798,924,100,40,0.6,0.07,4,0
0.00639845,909,100,40,0.6,0.08,4,0
0.0063661,916,100,40,0.6,0.09,4,0
0.00645795,955,100,40,0.6,0.1,4,0
0.0066345,964,100,40,0.7,0.05,4,0
0.0065933,930,100,40,0.7,0.06,4,0
0.00669615,916,100,40,0.7,0.07,4,96
0.0067314,920,100,40,0.7,0.08,4,0
0.00682565,929,100,40,0.7,0.09,4,0
0.0067335,926,100,40,0.7,0.1,4,0
0.00694485,969,100,40,0.8,0.05,4,0
0.0069327,959,100,40,0.8,0.06,4,0
0.0069976,913,100,40,0.8,0.07,4,0
0.0068809,895,100,40,0.8,0.08,4,0
0.00699825,894,100,40,0.8,0.09,4,0
0.00701685,909,100,40,0.8,0.1,4,0
0.0072177,892,100,40,0.9,0.05,4,0
0.0071785,904,100,40,0.9,0.06,4,0
0.0073553,962,100,40,0.9,0.07,4,0
0.0074026,954,100,40,0.9,0.08,4,0
0.0074683,889,100,40,0.9,0.09,4,0
0.0073338,921,100,40,0.9,0.1,4,0
0.0115304,910,200,40,0.5,0.05,4,0
0.0114403,959,200,40,0.5,0.06,4,0
0.0115394,923,200,40,0.5,0.07,4,0
0.0115657,918,200,40,0.5,0.08,4,100
0.0119518,970,200,40,0.5,0.09,4,0
0.0117887,935,200,40,0.5,0.1,4,0
0.0123433,930,200,40,0.6,0.05,4,0
0.0122519,936,200,40,0.6,0.06,4,0
0.0122621,869,200,40,0.6,0.07,4,12
0.0122534,945,200,40,0.6,0.08,4,0
0.0124336,914,200,40,0.6,0.09,4,0
0.0121978,912,200,40,0.6,0.1,4,0
0.0129703,931,200,40,0.7,0.05,4,83
0.0126417,941,200,40,0.7,0.06,4,0
0.012595,923,200,40,0.7,0.07,4,0
0.013037,970,200,40,0.7,0.08,4,0
0.0129392,936,200,40,0.7,0.09,4,0
0.0130358,945,200,40,0.7,0.1,4,0
0.0132362,953,200,40,0.8,0.05,4,0
0.0136289,933,200,40,0.8,0.06,4,166
0.0135635,984,200,40,0.8,0.07,4,0
0.0134873,961,200,40,0.8,0.08,4,0
0.0136792,894,200,40,0.8,0.09,4,0
0.0136026,956,200,40,0.8,0.1,4,0
0.0139465,949,200,40,0.9,0.05,4,0
0.014161,955,200,40,0.9,0.06,4,192
0.0140649,935,200,40,0.9,0.07,4,0
0.0140161,928,200,40,0.9,0.08,4,0
0.0141121,918,200,40,0.9,0.09,4,0
0.0140176,905,200,40,0.9,0.1,4,0
0.0173511,878,300,40,0.5,0.05,4,0
0.0171918,939,300,40,0.5,0.06,4,0
0.0173247,990,300,40,0.5,0.07,4,0
0.0171734,944,300,40,0.5,0.08,4,289
0.0172243,938,300,40,0.5,0.09,4,0
0.0168975,1016,300,40,0.5,0.1,4,0
0.0183548,921,300,40,0.6,0.05,4,0
0.0179308,906,300,40,0.6,0.06,4,0
0.0182035,934,300,40,0.6,0.07,4,0
0.0178707,895,300,40,0.6,0.08,4,253
0.0182255,924,300,40,0.6,0.09,4,0
0.0182065,905,300,40,0.6,0.1,4,223
0.0193687,927,300,40,0.7,0.05,4,226
0.0195004,935,300,40,0.7,0.06,4,295
0.0191445,920,300,40,0.7,0.07,4,0
0.019008,921,300,40,0.7,0.08,4,275
0.0194346,976,300,40,0.7,0.09,4,0
0.0191725,935,300,40,0.7,0.1,4,103
0.0196967,980,300,40,0.8,0.05,4,0
0.020635,933,300,40,0.8,0.06,4,152
0.0198852,949,300,40,0.8,0.07,4,0
0.0201813,952,300,40,0.8,0.08,4,0
