Average Time,Best Value,Generations,Population Size,Crossover Rate,Mutation Rate,Elitism Count,Generation of Best Value
0.00113885,427.903,100,15,0.5,0.05,1,0
0.0011636,481.069,100,15,0.5,0.06,1,0
0.0011402,469.161,100,15,0.5,0.07,1,0
0.00114475,438.762,100,15,0.5,0.08,1,0
0.00115845,437.043,100,15,0.5,0.09,1,1
0.0011376,424.921,100,15,0.5,0.1,1,0
0.0012129,430.583,100,15,0.6,0.05,1,0
0.0012073,419.8,100,15,0.6,0.06,1,0
0.0012306,411.295,100,15,0.6,0.07,1,0
0.0012367,408.728,100,15,0.6,0.08,1,0
0.0012115,415.259,100,15,0.6,0.09,1,0
0.001227,415.995,100,15,0.6,0.1,1,59
0.0013186,413.172,100,15,0.7,0.05,1,0
0.00137215,423.46,100,15,0.7,0.06,1,0
0.00132805,423.203,100,15,0.7,0.07,1,89
0.00132265,466.338,100,15,0.7,0.08,1,0
0.0013151,413.172,100,15,0.7,0.09,1,89
0.00134415,469.161,100,15,0.7,0.1,1,0
0.00142545,418.116,100,15,0.8,0.05,1,0
0.0014142,419.8,100,15,0.8,0.06,1,0
0.00140305,466.338,100,15,0.8,0.07,1,0
0.0013765,422.437,100,15,0.8,0.08,1,0
0.0014103,430.924,100,15,0.8,0.09,1,0
0.00142245,426.026,100,15,0.8,0.1,1,0
0.00145745,431.709,100,15,0.9,0.05,1,0
0.00149415,413.297,100,15,0.9,0.06,1,0
0.0014561,428.315,100,15,0.9,0.07,1,0
0.00148905,424.921,100,15,0.9,0.08,1,0
0.0014425,428.794,100,15,0.9,0.09,1,0
0.00144185,433.171,100,15,0.9,0.1,1,55
0.00209415,420.893,200,15,0.5,0.05,1,0
0.00206795,435.939,200,15,0.5,0.06,1,0
0.0021488,416.886,200,15,0.5,0.07,1,0
0.00212295,427.168,200,15,0.5,0.08,1,156
0.00217405,420.893,200,15,0.5,0.09,1,0
0.00210865,475.478,200,15,0.5,0.1,1,0
0.0023041,419.8,200,15,0.6,0.05,1,0
0.0022854,424.03,200,15,0.6,0.06,1,26
0.0022992,414.063,200,15,0.6,0.07,1,155
0.00226075,419.16,200,15,0.6,0.08,1,0
0.0023742,427.168,200,15,0.6,0.09,1,0
