Average Time,Best Value,Generations,Population Size,Crossover Rate,Mutation Rate,Elitism Count,Generation of Best Value
0.0028179,9741,100,23,0.5,0.05,2,0
0.00281455,9751,100,23,0.5,0.06,2,0
0.00283455,9754,100,23,0.5,0.07,2,0
0.0029098,9751,100,23,0.5,0.08,2,0
0.0028993,9745,100,23,0.5,0.09,2,26
0.0028872,9736,100,23,0.5,0.1,2,0
0.00300695,9754,100,23,0.6,0.05,2,0
0.0030056,9757,100,23,0.6,0.06,2,0
0.00300445,9753,100,23,0.6,0.07,2,0
0.00304475,9748,100,23,0.6,0.08,2,0
0.0029711,9751,100,23,0.6,0.09,2,9
0.0030223,9753,100,23,0.6,0.1,2,0
0.00313825,9753,100,23,0.7,0.05,2,86
0.00311255,9755,100,23,0.7,0.06,2,0
0.00310835,9754,100,23,0.7,0.07,2,0
0.0031194,9745,100,23,0.7,0.08,2,0
0.00309025,9752,100,23,0.7,0.09,2,0
0.0030815,9745,100,23,0.7,0.1,2,0
0.00321505,9748,100,23,0.8,0.05,2,0
0.0031971,9756,100,23,0.8,0.06,2,44
0.00321115,9744,100,23,0.8,0.07,2,0
0.00324085,9751,100,23,0.8,0.08,2,0
0.0032243,9745,100,23,0.8,0.09,2,28
0.00320735,9754,100,23,0.8,0.1,2,0
0.00336755,9757,100,23,0.9,0.05,2,62
0.00331365,9752,100,23,0.9,0.06,2,0
0.0033894,9751,100,23,0.9,0.07,2,20
0.003336,9748,100,23,0.9,0.08,2,29
0.0033712,9739,100,23,0.9,0.09,2,0
0.00337845,9743,100,23,0.9,0.1,2,0
0.00547705,9740,200,23,0.5,0.05,2,37
0.0054418,9747,200,23,0.5,0.06,2,0
0.005446,9750,200,23,0.5,0.07,2,0
0.0055045,9752,200,23,0.5,0.08,2,0
0.0054657,9751,200,23,0.5,0.09,2,127
0.0054167,9756,200,23,0.5,0.1,2,0
0.005597,9759,200,23,0.6,0.05,2,29
0.0057243,9746,200,23,0.6,0.06,2,130
0.00564,9753,200,23,0.6,0.07,2,56
0.0057713,9757,200,23,0.6,0.08,2,88
0.00575885,9749,200,23,0.6,0.09,2,114
0.0056933,9749,200,23,0.6,0.1,2,0
0.0059263,9746,200,23,0.7,0.05,2,0
0.0059472,9751,200,23,0.7,0.06,2,0
0.00595105,9743,200,23,0.7,0.07,2,0
0.00599395,9762,200,23,0.7,0.08,2,0
0.00597845,9745,200,23,0.7,0.09,2,0
0.00596535,9748,200,23,0.7,0.1,2,47
0.0062306,9743,200,23,0.8,0.05,2,0
0.00611705,9752,200,23,0.8,0.06,2,0
0.006251,9750,200,23,0.8,0.07,2,21
0.0062496,9741,200,23,0.8,0.08,2,103
0.0062496,9761,200,23,0.8,0.09,2,34
0.00622175,9739,200,23,0.8,0.1,2,0
0.00648415,9753,200,23,0.9,0.05,2,0
0.0064625,9746,200,23,0.9,0.06,2,0
0.0064416,9746,200,23,0.9,0.07,2,0
0.0064367,9746,200,23,0.9,0.08,2,184
0.00644875,9752,200,23,0.9,0.09,2,164
0.00641905,9749,200,23,0.9,0.1,2,175
0.0079713,9756,300,23,0.5,0.05,2,0
0.008037,9752,300,23,0.5,0.06,2,0
0.0079837,9754,300,23,0.5,0.07,2,262
0.00801495,9749,300,23,0.5,0.08,2,73
0.00803365,9747,300,23,0.5,0.09,2,27
0.00793705,9753,300,23,0.5,0.1,2,0
0.00838625,9744,300,23,0.6,0.05,2,0
0.00829645,9748,300,23,0.6,0.06,2,0
0.0085255,9758,300,23,0.6,0.07,2,280
0.0084243,9755,300,23,0.6,0.08,2,0
0.00832225,9743,300,23,0.6,0.09,2,30
0.00837175,9750,300,23,0.6,0.1,2,128
0.0086938,9751,300,23,0.7,0.05,2,0
0.0088199,9752,300,23,0.7,0.06,2,0
