Average Time,Best Value,Generations,Population Size,Crossover Rate,Mutation Rate,Elitism Count,Generation of Best Value
0.00247075,901,100,20,0.5,0.05,2,0
0.0026983,889,100,20,0.5,0.06,2,0
0.00267895,907,100,20,0.5,0.07,2,0
0.0025708,882,100,20,0.5,0.08,2,0
0.0026143,884,100,20,0.5,0.09,2,0
0.0025024,857,100,20,0.5,0.1,2,0
0.00267005,898,100,20,0.6,0.05,2,0
0.00264225,878,100,20,0.6,0.06,2,0
0.0026264,906,100,20,0.6,0.07,2,0
0.0026518,893,100,20,0.6,0.08,2,0
0.00267395,987,100,20,0.6,0.09,2,0
0.002715,857,100,20,0.6,0.1,2,0
0.0028338,946,100,20,0.7,0.05,2,0
0.0028435,964,100,20,0.7,0.06,2,21
0.00281855,931,100,20,0.7,0.07,2,0
0.00276245,875,100,20,0.7,0.08,2,0
0.00272905,907,100,20,0.7,0.09,2,0
0.00289235,879,100,20,0.7,0.1,2,0
0.0028598,901,100,20,0.8,0.05,2,0
0.00293635,898,100,20,0.8,0.06,2,0
0.00292125,874,100,20,0.8,0.07,2,40
0.00288125,896,100,20,0.8,0.08,2,0
0.00293015,895,100,20,0.8,0.09,2,0
0.0028514,867,100,20,0.8,0.1,2,0
0.00299715,903,100,20,0.9,0.05,2,98
0.0029558,896,100,20,0.9,0.06,2,0
0.0029974,913,100,20,0.9,0.07,2,83
0.00305075,914,100,20,0.9,0.08,2,0
0.0030326,937,100,20,0.9,0.09,2,0
0.0030006,898,100,20,0.9,0.1,2,0
0.00477295,892,200,20,0.5,0.05,2,0
0.00487585,919,200,20,0.5,0.06,2,0
0.00477615,904,200,20,0.5,0.07,2,0
0.00478825,921,200,20,0.5,0.08,2,0
0.0048182,887,200,20,0.5,0.09,2,0
0.00482985,933,200,20,0.5,0.1,2,0
0.00503975,977,200,20,0.6,0.05,2,0
0.0049901,975,200,20,0.6,0.06,2,0
0.0052463,927,200,20,0.6,0.07,2,0
0.00500525,916,200,20,0.6,0.08,2,0
0.00511725,908,200,20,0.6,0.09,2,0
0.00484335,901,200,20,0.6,0.1,2,0
0.0053076,896,200,20,0.7,0.05,2,0
0.00535375,919,200,20,0.7,0.06,2,0
0.00530685,887,200,20,0.7,0.07,2,0
0.0053107,894,200,20,0.7,0.08,2,0
0.0052345,925,200,20,0.7,0.09,2,0
0.0053415,901,200,20,0.7,0.1,2,0
0.0056303,896,200,20,0.8,0.05,2,0
0.00546925,912,200,20,0.8,0.06,2,188
0.0056761,961,200,20,0.8,0.07,2,0
0.0054886,936,200,20,0.8,0.08,2,0
0.0054355,945,200,20,0.8,0.09,2,0
0.0055135,922,200,20,0.8,0.1,2,0
0.0057754,883,200,20,0.9,0.05,2,0
0.00573215,936,200,20,0.9,0.06,2,0
0.00568635,947,200,20,0.9,0.07,2,0
0.00574455,918,200,20,0.9,0.08,2,198
0.0058595,926,200,20,0.9,0.09,2,0
0.0057276,924,200,20,0.9,0.1,2,0
0.0068851,882,300,20,0.5,0.05,2,0
0.0070013,895,300,20,0.5,0.06,2,285
0.00708875,914,300,20,0.5,0.07,2,0
0.0071684,930,300,20,0.5,0.08,2,222
0.0070457,924,300,20,0.5,0.09,2,0
0.0070518,925,300,20,0.5,0.1,2,0
0.00746095,956,300,20,0.6,0.05,2,0
0.0074965,916,300,20,0.6,0.06,2,0
0.00732675,910,300,20,0.6,0.07,2,0
0.0073149,890,300,20,0.6,0.08,2,273
0.0075599,950,300,20,0.6,0.09,2,166
0.00736365,872,300,20,0.6,0.1,2,285
0.00778775,937,300,20,0.7,0.05,2,257
0.0076611,913,300,20,0.7,0.06,2,28
0.00793835,902,300,20,0.7,0.07,2,284
0.00760965,907,300,20,0.7,0.08,2,234
0.00776155,916,300,20,0.7,0.09,2,0
0.00760195,926,300,20,0.7,0.1,2,117
0.008118,922,300,20,0.8,0.05,2,0
0.008563,904,300,20,0.8,0.06,2,0
0.0080776,929,300,20,0.8,0.07,2,290
0.0080962,927,300,20,0.8,0.08,2,0
0.00806705,899,300,20,0.8,0.09,2,196
0.00820645,942,300,20,0.8,0.1,2,0
0.00832485,877,300,20,0.9,0.05,2,0
0.00855335,917,300,20,0.9,0.06,2,0
0.008264,942,300,20,0.9,0.07,2,0
0.0085959,904,300,20,0.9,0.08,2,0
0.0083215,913,300,20,0.9,0.09,2,0
0.0085119,904,300,20,0.9,0.1,2,150
0.00605315,901,100,40,0.5,0.05,4,0
0.00590925,930,100,40,0.5,0.06,4,0
0.00597325,945,100,40,0.5,0.07,4,0
0.00592855,942,100,40,0.5,0.08,4,0
0.0058975,936,100,40,0.5,0.09,4,0
0.00602685,913,100,40,0.5,0.1,4,47
0.00621165,927,100,40,0.6,0.05,4,0
0.006308,950,100,40,0.6,0.06,4,0
0.006465,934,100,40,0.6,0.07,4,0
0.0062088,895,100,40,0.6,0.08,4,0
0.0062322,916,100,40,0.6,0.09,4,0
0.0061212,910,100,40,0.6,0.1,4,0
0.0064992,936,100,40,0.7,0.05,4,0
0.00649915,885,100,40,0.7,0.06,4,0
0.0065478,933,100,40,0.7,0.07,4,0
0.0064815,938,100,40,0.7,0.08,4,0
0.00662485,959,100,40,0.7,0.09,4,0
0.00657935,910,100,40,0.7,0.1,4,0
0.00679075,942,100,40,0.8,0.05,4,0
0.0068807,897,100,40,0.8,0.06,4,0
0.0068011,921,100,40,0.8,0.07,4,0
0.00681215,944,100,40,0.8,0.08,4,0
0.00686115,904,100,40,0.8,0.09,4,24
0.00695815,925,100,40,0.8,0.1,4,20
0.0070988,933,100,40,0.9,0.05,4,0
0.00709555,925,100,40,0.9,0.06,4,0
0.00724065,921,100,40,0.9,0.07,4,0
0.0071777,905,100,40,0.9,0.08,4,0
0.00721485,944,100,40,0.9,0.09,4,0
0.00717875,912,100,40,0.9,0.1,4,0
0.0114887,925,200,40,0.5,0.05,4,129
0.011201,911,200,40,0.5,0.06,4,0
0.0113285,920,200,40,0.5,0.07,4,0
0.0114635,990,200,40,0.5,0.08,4,0
0.0114442,930,200,40,0.5,0.09,4,0
0.0114729,904,200,40,0.5,0.1,4,0
0.0120958,910,200,40,0.6,0.05,4,33
0.0119543,919,200,40,0.6,0.06,4,0
0.0120875,906,200,40,0.6,0.07,4,0
0.0121518,928,200,40,0.6,0.08,4,0
0.0118934,958,200,40,0.6,0.09,4,0
0.0119391,951,200,40,0.6,0.1,4,0
0.0129349,932,200,40,0.7,0.05,4,0
0.0123624,898,200,40,0.7,0.06,4,0
0.0126129,933,200,40,0.7,0.07,4,146
0.0125856,933,200,40,0.7,0.08,4,0
0.0123963,935,200,40,0.7,0.09,4,191
0.0128217,973,200,40,0.7,0.1,4,0
0.0132621,913,200,40,0.8,0.05,4,0
0.0129835,910,200,40,0.8,0.06,4,72
0.0133839,939,200,40,0.8,0.07,4,57
0.0133254,938,200,40,0.8,0.08,4,190
0.0131543,956,200,40,0.8,0.09,4,0
0.0135832,959,200,40,0.8,0.1,4,0
0.0140205,921,200,40,0.9,0.05,4,0
0.0141643,939,200,40,0.9,0.06,4,59
0.013838,956,200,40,0.9,0.07,4,0
0.0137442,916,200,40,0.9,0.08,4,0
0.0138498,948,200,40,0.9,0.09,4,0
0.013769,904,200,40,0.9,0.1,4,104
0.0166306,936,300,40,0.5,0.05,4,0
0.0167832,881,300,40,0.5,0.06,4,0
0.0171457,925,300,40,0.5,0.07,4,197
0.0173348,931,300,40,0.5,0.08,4,0
0.0173147,967,300,40,0.5,0.09,4,0
0.0169134,911,300,40,0.5,0.1,4,0
0.017869,890,300,40,0.6,0.05,4,0
0.0174725,927,300,40,0.6,0.06,4,99
0.0175602,920,300,40,0.6,0.07,4,0
0.0176868,925,300,40,0.6,0.08,4,0
0.0178489,933,300,40,0.6,0.09,4,289
0.0179232,887,300,40,0.6,0.1,4,273
0.0185366,918,300,40,0.7,0.05,4,119
0.0185725,915,300,40,0.7,0.06,4,49
0.0185782,910,300,40,0.7,0.07,4,286
0.0188124,972,300,40,0.7,0.08,4,0
0.0185615,908,300,40,0.7,0.09,4,200
0.0181748,933,300,40,0.7,0.1,4,0
0.0196405,983,300,40,0.8,0.05,4,0
0.0197244,954,300,40,0.8,0.06,4,0
0.0189436,942,300,40,0.8,0.07,4,0
0.0198469,931,300,40,0.8,0.08,4,204
0.0198467,916,300,40,0.8,0.09,4,269
0.0198365,944,300,40,0.8,0.1,4,0
0.0205049,940,300,40,0.9,0.05,4,0
0.0206861,947,300,40,0.9,0.06,4,0
0.0207625,918,300,40,0.9,0.07,4,183
0.021537,935,300,40,0.9,0.08,4,244
0.0211768,942,300,40,0.9,0.09,4,0
0.020748,942,300,40,0.9,0.1,4,170
0.00986635,946,100,60,0.5,0.05,6,0
0.0100916,895,100,60,0.5,0.06,6,0
0.010127,910,100,60,0.5,0.07,6,0
0.00965455,883,100,60,0.5,0.08,6,0
0.009785,910,100,60,0.5,0.09,6,0
0.00975085,947,100,60,0.5,0.1,6,0
0.0105551,941,100,60,0.6,0.05,6,0
0.0104591,926,100,60,0.6,0.06,6,0
0.0103183,944,100,60,0.6,0.07,6,0
0.0101409,955,100,60,0.6,0.08,6,0
0.0105959,924,100,60,0.6,0.09,6,0
0.0102677,962,100,60,0.6,0.1,6,0
0.0109288,952,100,60,0.7,0.05,6,0
0.0108042,942,100,60,0.7,0.06,6,0
0.0110507,950,100,60,0.7,0.07,6,0
0.0106968,876,100,60,0.7,0.08,6,38
0.0109571,916,100,60,0.7,0.09,6,0
0.0107979,914,100,60,0.7,0.1,6,0
0.0113023,948,100,60,0.8,0.05,6,0
0.0112067,931,100,60,0.8,0.06,6,0
