Average Time,Best Value,Generations,Population Size,Crossover Rate,Mutation Rate,Elitism Count,Generation of Best Value
0.00020575,107,100,7,0.5,0.05,1,0
0.00021255,107,100,7,0.5,0.06,1,0
0.00021345,107,100,7,0.5,0.07,1,0
0.0002108,107,100,7,0.5,0.08,1,0
0.00021855,107,100,7,0.5,0.09,1,0
0.0002144,107,100,7,0.5,0.1,1,0
0.00021785,107,100,7,0.6,0.05,1,0
0.0002135,107,100,7,0.6,0.06,1,0
0.0002067,107,100,7,0.6,0.07,1,0
0.0002154,107,100,7,0.6,0.08,1,0
0.0002131,107,100,7,0.6,0.09,1,0
0.0002207,107,100,7,0.6,0.1,1,0
0.00021895,107,100,7,0.7,0.05,1,0
0.0002157,107,100,7,0.7,0.06,1,0
0.00020645,107,100,7,0.7,0.07,1,0
0.00020535,107,100,7,0.7,0.08,1,0
0.0002128,107,100,7,0.7,0.09,1,0
0.0002203,107,100,7,0.7,0.1,1,0
0.0002384,107,100,7,0.8,0.05,1,0
0.00021355,107,100,7,0.8,0.06,1,0
0.00020885,107,100,7,0.8,0.07,1,0
0.000212,107,100,7,0.8,0.08,1,0
0.0002062,107,100,7,0.8,0.09,1,0
0.00020825,107,100,7,0.8,0.1,1,0
0.00020955,107,100,7,0.9,0.05,1,0
0.00021615,107,100,7,0.9,0.06,1,0
0.00021365,107,100,7,0.9,0.07,1,0
0.0002049,107,100,7,0.9,0.08,1,0
0.000217,107,100,7,0.9,0.09,1,0
0.00021235,107,100,7,0.9,0.1,1,0
0.00040385,107,200,7,0.5,0.05,1,0
0.00040135,107,200,7,0.5,0.06,1,0
0.0004123,107,200,7,0.5,0.07,1,0
0.00040675,107,200,7,0.5,0.08,1,0
0.00038685,107,200,7,0.5,0.09,1,0
0.000393,107,200,7,0.5,0.1,1,0
0.0003966,107,200,7,0.6,0.05,1,0
0.00040205,107,200,7,0.6,0.06,1,0
0.0003932,107,200,7,0.6,0.07,1,0
0.00039795,107,200,7,0.6,0.08,1,0
0.00039315,107,200,7,0.6,0.09,1,0
0.0004042,107,200,7,0.6,0.1,1,0
0.00040545,107,200,7,0.7,0.05,1,0
0.0004015,107,200,7,0.7,0.06,1,0
0.0004048,107,200,7,0.7,0.07,1,0
0.0004017,107,200,7,0.7,0.08,1,0
0.0004041,107,200,7,0.7,0.09,1,0
0.0003937,107,200,7,0.7,0.1,1,0
0.00039455,107,200,7,0.8,0.05,1,0
0.0003958,107,200,7,0.8,0.06,1,0
0.0003965,107,200,7,0.8,0.07,1,0
0.00038875,107,200,7,0.8,0.08,1,0
0.00039665,107,200,7,0.8,0.09,1,0
0.00039655,107,200,7,0.8,0.1,1,0
0.0003974,107,200,7,0.9,0.05,1,0
0.00039415,107,200,7,0.9,0.06,1,0
0.00039265,107,200,7,0.9,0.07,1,0
0.0003973,107,200,7,0.9,0.08,1,0
0.00039085,107,200,7,0.9,0.09,1,0
0.0003909,107,200,7,0.9,0.1,1,0
0.00056545,107,300,7,0.5,0.05,1,0
