Average Time,Best Value,Generations,Population Size,Crossover Rate,Mutation Rate,Elitism Count,Generation of Best Value
0.0003375,295,100,10,0.5,0.05,1,0
0.0003393,293,100,10,0.5,0.06,1,0
0.00033505,294,100,10,0.5,0.07,1,0
0.0003366,294,100,10,0.5,0.08,1,0
0.00033385,294,100,10,0.5,0.09,1,0
0.0003301,285,100,10,0.5,0.1,1,0
0.00033775,294,100,10,0.6,0.05,1,0
0.000331,294,100,10,0.6,0.06,1,0
0.0003337,293,100,10,0.6,0.07,1,0
0.00034115,294,100,10,0.6,0.08,1,0
0.00032865,295,100,10,0.6,0.09,1,0
0.0003433,294,100,10,0.6,0.1,1,0
0.00033885,288,100,10,0.7,0.05,1,0
0.000342,288,100,10,0.7,0.06,1,0
0.0003507,295,100,10,0.7,0.07,1,0
0.00033985,295,100,10,0.7,0.08,1,0
0.0003438,294,100,10,0.7,0.09,1,0
0.0003362,288,100,10,0.7,0.1,1,0
0.00034045,290,100,10,0.8,0.05,1,0
0.0003433,294,100,10,0.8,0.06,1,0
0.00033355,293,100,10,0.8,0.07,1,0
0.00034065,295,100,10,0.8,0.08,1,0
0.0003375,294,100,10,0.8,0.09,1,0
0.0003359,295,100,10,0.8,0.1,1,0
0.00033475,294,100,10,0.9,0.05,1,0
0.0003315,293,100,10,0.9,0.06,1,0
0.00033655,294,100,10,0.9,0.07,1,0
0.00033415,294,100,10,0.9,0.08,1,0
0.0003354,293,100,10,0.9,0.09,1,0
0.0003372,295,100,10,0.9,0.1,1,0
0.0006263,295,200,10,0.5,0.05,1,0
0.0006202,295,200,10,0.5,0.06,1,0
0.00062395,293,200,10,0.5,0.07,1,0
0.00062355,295,200,10,0.5,0.08,1,0
0.0006275,288,200,10,0.5,0.09,1,0
0.00062115,293,200,10,0.5,0.1,1,0
0.0006224,295,200,10,0.6,0.05,1,0
0.0006359,294,200,10,0.6,0.06,1,0
0.00063945,293,200,10,0.6,0.07,1,0
0.0006319,288,200,10,0.6,0.08,1,0
0.00062115,295,200,10,0.6,0.09,1,0
0.00062785,295,200,10,0.6,0.1,1,0
0.00062755,294,200,10,0.7,0.05,1,0
0.0006306,295,200,10,0.7,0.06,1,0
0.0006221,294,200,10,0.7,0.07,1,0
0.0006206,295,200,10,0.7,0.08,1,0
0.0006281,294,200,10,0.7,0.09,1,0
0.00062355,295,200,10,0.7,0.1,1,0
0.00062605,294,200,10,0.8,0.05,1,0
0.00063305,295,200,10,0.8,0.06,1,0
0.00063245,295,200,10,0.8,0.07,1,0
0.00062435,294,200,10,0.8,0.08,1,0
0.00062125,294,200,10,0.8,0.09,1,0
0.00062625,295,200,10,0.8,0.1,1,0
0.0006313,295,200,10,0.9,0.05,1,0
0.0006328,295,200,10,0.9,0.06,1,0
0.00062935,290,200,10,0.9,0.07,1,0
0.00062595,290,200,10,0.9,0.08,1,0
0.00062985,294,200,10,0.9,0.09,1,0
0.00062895,288,200,10,0.9,0.1,1,0
0.00092615,295,300,10,0.5,0.05,1,0
0.00092555,293,300,10,0.5,0.06,1,0
0.00091405,295,300,10,0.5,0.07,1,0
0.000923,293,300,10,0.5,0.08,1,0
0.0009222,295,300,10,0.5,0.09,1,0
0.00091705,295,300,10,0.5,0.1,1,0
0.00091465,294,300,10,0.6,0.05,1,0
0.00091,290,300,10,0.6,0.06,1,0
0.00091355,295,300,10,0.6,0.07,1,0
0.00092135,293,300,10,0.6,0.08,1,0
0.0009081,293,300,10,0.6,0.09,1,0
0.000915,295,300,10,0.6,0.1,1,0
0.0009094,294,300,10,0.7,0.05,1,0
0.00092985,288,300,10,0.7,0.06,1,0
0.00093165,295,300,10,0.7,0.07,1,0
