Average Time,Best Value,Generations,Population Size,Crossover Rate,Mutation Rate,Elitism Count,Generation of Best Value
0.00029135,130,100,10,0.9,0.05,1,0
0.00029705,130,100,10,0.9,0.06,1,0
0.00029275,130,100,10,0.9,0.07,1,0
0.00029135,130,100,10,0.9,0.08,1,0
0.0002972,130,100,10,0.9,0.09,1,0
0.0002901,130,100,10,0.9,0.1,1,0
0.00055635,130,200,10,0.5,0.05,1,0
0.00055065,130,200,10,0.5,0.06,1,0
0.0005567,130,200,10,0.5,0.07,1,0
0.00055825,130,200,10,0.5,0.08,1,0
0.0005484,130,200,10,0.5,0.09,1,0
0.00055655,130,200,10,0.5,0.1,1,0
0.00055435,130,200,10,0.6,0.05,1,0
0.0005518,130,200,10,0.6,0.06,1,0
0.00055865,130,200,10,0.6,0.07,1,0
0.0005539,130,200,10,0.6,0.08,1,0
0.0005494,130,200,10,0.6,0.09,1,0
0.00055785,130,200,10,0.6,0.1,1,0
0.0005577,130,200,10,0.7,0.05,1,0
0.00055265,130,200,10,0.7,0.06,1,0
0.00055085,130,200,10,0.7,0.07,1,0
0.0005603,130,200,10,0.7,0.08,1,0
0.0005524,130,200,10,0.7,0.09,1,0
0.00055405,130,200,10,0.7,0.1,1,0
0.0005549,130,200,10,0.8,0.05,1,0
0.00055145,130,200,10,0.8,0.06,1,0
0.0005563,130,200,10,0.8,0.07,1,0
0.00055275,130,200,10,0.8,0.08,1,0
0.0005544,130,200,10,0.8,0.09,1,0
0.0005639,130,200,10,0.8,0.1,1,0
0.0005597,130,200,10,0.9,0.05,1,0
0.00055205,130,200,10,0.9,0.06,1,0
0.00055865,130,200,10,0.9,0.07,1,0
0.0005571,130,200,10,0.9,0.08,1,0
0.00055305,130,200,10,0.9,0.09,1,0
0.00055925,130,200,10,0.9,0.1,1,0
0.000811,130,300,10,0.5,0.05,1,0
0.00080985,130,300,10,0.5,0.06,1,0
0.00081625,130,300,10,0.5,0.07,1,0
0.00081805,130,300,10,0.5,0.08,1,0
0.00081235,130,300,10,0.5,0.09,1,0
0.00081385,130,300,10,0.5,0.1,1,0
0.00081835,130,300,10,0.6,0.05,1,0
0.0008193,130,300,10,0.6,0.06,1,0
0.00081805,130,300,10,0.6,0.07,1,0
0.0008183,130,300,10,0.6,0.08,1,0
0.00083005,130,300,10,0.6,0.09,1,0
