Average Time,Best Value,Generations,Population Size,Crossover Rate,Mutation Rate,Elitism Count,Generation of Best Value
0.0303059,4414,100,200,0.8,0.07,20,0
0.0303278,4172,100,200,0.8,0.08,20,0
0.030533,4070,100,200,0.8,0.09,20,0
0.030475,4755,100,200,0.8,0.1,20,0
0.031272,4505,100,200,0.9,0.05,20,0
0.0309838,4164,100,200,0.9,0.06,20,0
0.031074,4025,100,200,0.9,0.07,20,0
0.031265,3772,100,200,0.9,0.08,20,0
0.0313818,3559,100,200,0.9,0.09,20,0
0.03124,4521,100,200,0.9,0.1,20,0
0.0537898,4064,200,200,0.5,0.05,20,0
0.0541151,4623,200,200,0.5,0.06,20,0
0.0538864,3855,200,200,0.5,0.07,20,0
0.0536645,4409,200,200,0.5,0.08,20,0
0.0536372,3701,200,200,0.5,0.09,20,0
0.053756,4325,200,200,0.5,0.1,20,0
0.0555415,4192,200,200,0.6,0.05,20,0
0.0554936,4502,200,200,0.6,0.06,20,0
0.0550252,3875,200,200,0.6,0.07,20,0
0.0550139,4101,200,200,0.6,0.08,20,0
0.0549515,4066,200,200,0.6,0.09,20,0
0.0547705,4369,200,200,0.6,0.1,20,0
0.0566985,3796,200,200,0.7,0.05,20,0
0.0561899,3593,200,200,0.7,0.06,20,0
0.0562539,4367,200,200,0.7,0.07,20,0
0.0563958,4293,200,200,0.7,0.08,20,0
0.0567149,4145,200,200,0.7,0.09,20,0
0.0567388,3612,200,200,0.7,0.1,20,0
0.0589027,3722,200,200,0.8,0.05,20,0
0.0584653,3896,200,200,0.8,0.06,20,0
0.0584949,4099,200,200,0.8,0.07,20,0
0.058251,3861,200,200,0.8,0.08,20,0
0.0585068,3759,200,200,0.8,0.09,20,0
0.0584384,4073,200,200,0.8,0.1,20,0
0.0597356,3767,200,200,0.9,0.05,20,0
0.0597897,3473,200,200,0.9,0.06,20,0
0.0597377,3938,200,200,0.9,0.07,20,0
0.0597998,4108,200,200,0.9,0.08,20,0
0.0606997,3859,200,200,0.9,0.09,20,0
0.0610282,4045,200,200,0.9,0.1,20,0
0.0800332,5006,300,200,0.5,0.05,20,0
0.0788321,4452,300,200,0.5,0.06,20,0
0.0790779,4042,300,200,0.5,0.07,20,0
0.0788327,4544,300,200,0.5,0.08,20,0
0.0791126,3853,300,200,0.5,0.09,20,0
0.0795137,4055,300,200,0.5,0.1,20,0
0.0814549,3682,300,200,0.6,0.05,20,0
0.0814004,4776,300,200,0.6,0.06,20,0
0.0818615,3557,300,200,0.6,0.07,20,0
0.0818669,3897,300,200,0.6,0.08,20,0
0.0811696,3671,300,200,0.6,0.09,20,0
0.0813068,3526,300,200,0.6,0.1,20,0
0.0832911,4207,300,200,0.7,0.05,20,0
0.0835614,4036,300,200,0.7,0.06,20,0
0.0835597,4115,300,200,0.7,0.07,20,0
0.0834692,3345,300,200,0.7,0.08,20,0
0.0837073,3772,300,200,0.7,0.09,20,0
0.0839251,4010,300,200,0.7,0.1,20,0
0.0859731,4516,300,200,0.8,0.05,20,0
0.0863164,4247,300,200,0.8,0.06,20,0
0.0863626,4247,300,200,0.8,0.07,20,0
0.0860536,4400,300,200,0.8,0.08,20,0
0.0864024,4886,300,200,0.8,0.09,20,0
0.0877158,4649,300,200,0.8,0.1,20,0
0.0894613,3674,300,200,0.9,0.05,20,0
0.0894468,3948,300,200,0.9,0.06,20,0
0.0897013,5372,300,200,0.9,0.07,20,0
0.0893687,4638,300,200,0.9,0.08,20,0
0.0892944,4155,300,200,0.9,0.09,20,0
0.0894867,4056,300,200,0.9,0.1,20,0
0.0522475,3805,100,300,0.5,0.05,30,0
0.0526428,4897,100,300,0.5,0.06,30,0
0.0528535,3689,100,300,0.5,0.07,30,0
0.0527565,3841,100,300,0.5,0.08,30,0
0.0526193,5134,100,300,0.5,0.09,30,0
0.0524917,4447,100,300,0.5,0.1,30,0
0.0539567,4280,100,300,0.6,0.05,30,0
0.0539397,4529,100,300,0.6,0.06,30,0
0.0542565,3842,100,300,0.6,0.07,30,0
0.0543137,4308,100,300,0.6,0.08,30,0
0.0542115,4381,100,300,0.6,0.09,30,0
0.0542906,5435,100,300,0.6,0.1,30,0
0.0554443,4206,100,300,0.7,0.05,30,0
0.0555874,4287,100,300,0.7,0.06,30,0
0.0558044,4082,100,300,0.7,0.07,30,0
0.0557068,4015,100,300,0.7,0.08,30,0
0.0558962,4137,100,300,0.7,0.09,30,0
0.0560762,4003,100,300,0.7,0.1,30,0
0.0578586,4716,100,300,0.8,0.05,30,0
0.0570642,4289,100,300,0.8,0.06,30,0
0.0574073,5333,100,300,0.8,0.07,30,0
0.0574569,4207,100,300,0.8,0.08,30,0
0.0574645,5047,100,300,0.8,0.09,30,0
0.0574269,4141,100,300,0.8,0.1,30,0
0.0592398,4393,100,300,0.9,0.05,30,0
0.0591266,4361,100,300,0.9,0.06,30,0
0.0592441,4018,100,300,0.9,0.07,30,0
0.0590172,4200,100,300,0.9,0.08,30,0
0.05919,4598,100,300,0.9,0.09,30,0
0.0593269,3924,100,300,0.9,0.1,30,0
0.10203,4048,200,300,0.5,0.05,30,0
0.101689,5149,200,300,0.5,0.06,30,0
0.102079,4079,200,300,0.5,0.07,30,0
0.10203,5129,200,300,0.5,0.08,30,0
0.10227,3534,200,300,0.5,0.09,30,0
0.102555,4346,200,300,0.5,0.1,30,0
0.105123,4707,200,300,0.6,0.05,30,0
0.105196,3812,200,300,0.6,0.06,30,0
0.106728,4260,200,300,0.6,0.07,30,0
0.106179,4208,200,300,0.6,0.08,30,0
0.106378,4897,200,300,0.6,0.09,30,0
0.106906,5286,200,300,0.6,0.1,30,0
0.108708,5372,200,300,0.7,0.05,30,0
0.109587,5358,200,300,0.7,0.06,30,0
0.110599,3853,200,300,0.7,0.07,30,0
0.109226,4343,200,300,0.7,0.08,30,0
0.111198,4606,200,300,0.7,0.09,30,0
0.109804,4460,200,300,0.7,0.1,30,0
0.111978,4006,200,300,0.8,0.05,30,0
0.112372,4004,200,300,0.8,0.06,30,0
0.11203,4153,200,300,0.8,0.07,30,0
0.11283,4295,200,300,0.8,0.08,30,0
0.112485,3860,200,300,0.8,0.09,30,0
0.11273,4929,200,300,0.8,0.1,30,0
0.116022,4489,200,300,0.9,0.05,30,0
0.11586,3947,200,300,0.9,0.06,30,0
0.116319,3721,200,300,0.9,0.07,30,0
0.116449,3750,200,300,0.9,0.08,30,0
0.116732,4906,200,300,0.9,0.09,30,0
0.116747,3965,200,300,0.9,0.1,30,0
0.151761,4360,300,300,0.5,0.05,30,0
0.151355,4473,300,300,0.5,0.06,30,0
0.152032,4578,300,300,0.5,0.07,30,0
0.151462,4156,300,300,0.5,0.08,30,0
0.151481,3788,300,300,0.5,0.09,30,0
0.151975,4025,300,300,0.5,0.1,30,0
0.156987,4261,300,300,0.6,0.05,30,0
0.156499,4148,300,300,0.6,0.06,30,0
0.157323,4078,300,300,0.6,0.07,30,0
0.156721,4224,300,300,0.6,0.08,30,0
0.157008,4849,300,300,0.6,0.09,30,0
0.157207,3733,300,300,0.6,0.1,30,0
0.162057,3940,300,300,0.7,0.05,30,0
0.161992,4379,300,300,0.7,0.06,30,0
0.162009,4104,300,300,0.7,0.07,30,0
0.161907,3791,300,300,0.7,0.08,30,0
0.1627,4117,300,300,0.7,0.09,30,0
0.162892,4189,300,300,0.7,0.1,30,0
0.167126,3881,300,300,0.8,0.05,30,0
