Generation,Normal Average,Memetic Average
0,379.303,481.069
1,387.658,481.069
2,395.742,481.069
3,402.636,481.069
4,408.039,481.069
5,414.352,481.069
6,421.491,481.069
7,428.252,481.069
8,431.774,481.069
9,439.141,481.069
10,444.76,481.069
11,446.813,481.069
12,449.717,481.069
13,450.931,481.069
14,452.764,481.069
15,453.595,481.069
16,455.62,481.069
17,457.992,481.069
18,458.855,481.069
19,459.819,481.069
20,460.238,481.069
21,460.657,481.069
22,461.574,481.069
23,462.538,481.069
24,463.291,481.069
25,463.887,481.069
26,463.887,481.069
27,464.027,481.069
28,464.027,481.069
29,464.186,481.069
30,464.186,481.069
31,464.186,481.069
32,464.186,481.069
33,465.101,481.069
34,465.101,481.069
35,466.558,481.069
36,466.855,481.069
37,466.855,481.069
38,466.855,481.069
39,467.318,481.069
40,467.318,481.069
41,467.441,481.069
42,468.499,481.069
43,470.249,481.069
44,470.249,481.069
45,471.151,481.069
46,471.151,481.069
47,471.833,481.069
48,471.991,481.069
49,471.991,481.069
50,472.515,481.069
51,472.813,481.069
52,472.953,481.069
53,472.953,481.069
54,473.093,481.069
55,473.093,481.069
56,474.229,481.069
57,474.368,481.069
58,474.368,481.069
59,474.781,481.069
60,474.85,481.069
61,474.85,481.069
62,475.079,481.069
63,475.376,481.069
64,476.724,481.069
65,477.092,481.069
66,477.092,481.069
67,477.232,481.069
68,477.232,481.069
69,477.232,481.069
70,478.054,481.069
71,478.054,481.069
72,478.351,481.069
73,478.351,481.069
74,478.351,481.069
75,478.351,481.069
76,479.313,481.069
77,479.313,481.069
78,479.313,481.069
79,479.313,481.069
80,479.313,481.069
81,479.313,481.069
82,479.313,481.069
83,479.313,481.069
84,479.313,481.069
85,479.313,481.069
86,479.313,481.069
87,479.313,481.069
88,479.453,481.069
89,479.453,481.069
90,479.453,481.069
91,479.453,481.069
92,479.592,481.069
93,479.592,481.069
94,479.592,481.069
95,479.592,481.069
96,479.89,481.069
97,479.89,481.069
98,479.89,481.069
99,479.89,481.069
100,479.89,481.069
101,479.89,481.069
102,479.89,481.069
103,479.89,481.069
104,479.89,481.069
105,479.89,481.069
106,480.03,481.069
107,480.03,481.069
108,480.03,481.069
109,480.03,481.069
110,480.17,481.069
111,480.17,481.069
112,480.17,481.069
113,480.17,481.069
114,480.17,481.069
115,480.17,481.069
116,480.17,481.069
117,480.17,481.069
118,480.17,481.069
119,480.17,481.069
120,480.17,481.069
121,480.17,481.069
122,480.17,481.069
123,480.17,481.069
124,480.17,481.069
125,480.17,481.069
126,480.17,481.069
127,480.17,481.069
128,480.17,481.069
129,480.17,481.069
130,480.17,481.069
131,480.17,481.069
132,480.17,481.069
133,480.17,481.069
134,480.17,481.069
135,480.17,481.069
136,480.17,481.069
137,480.264,481.069
138,480.264,481.069
139,480.561,481.069
140,480.561,481.069
141,480.561,481.069
142,480.79,481.069
143,480.93,481.069
144,480.93,481.069
145,480.93,481.069
146,480.93,481.069
147,480.93,481.069
148,480.93,481.069
149,480.93,481.069
150,480.93,481.069
151,480.93,481.069
152,480.93,481.069
153,480.93,481.069
154,480.93,481.069
155,480.93,481.069
156,480.93,481.069
157,480.93,481.069
158,480.93,481.069
159,480.93,481.069
160,480.93,481.069
161,480.93,481.069
162,480.93,481.069
163,480.93,481.069
164,480.93,481.069
165,480.93,481.069
166,480.93,481.069
167,480.93,481.069
168,480.93,481.069
169,480.93,481.069
170,480.93,481.069
171,481.069,481.069
172,481.069,481.069
173,481.069,481.069
174,481.069,481.069
175,481.069,481.069
176,481.069,481.069
177,481.069,481.069
178,481.069,481.069
179,481.069,481.069
180,481.069,481.069
181,481.069,481.069
182,481.069,481.069
183,481.069,481.069
184,481.069,481.069
185,481.069,481.069
186,481.069,481.069
187,481.069,481.069
188,481.069,481.069
189,481.069,481.069
190,481.069,481.069
191,481.069,481.069
192,481.069,481.069
193,481.069,481.069
194,481.069,481.069
195,481.069,481.069
196,481.069,481.069
197,481.069,481.069
198,481.069,481.069
199,481.069,481.069
200,481.069,481.069
201,481.069,481.069
202,481.069,481.069
203,481.069,481.069
204,481.069,481.069
205,481.069,481.069
206,481.069,481.069
207,481.069,481.069
208,481.069,481.069
209,481.069,481.069
210,481.069,481.069
211,481.069,481.069
212,481.069,481.069
213,481.069,481.069
214,481.069,481.069
215,481.069,481.069
216,481.069,481.069
217,481.069,481.069
218,481.069,481.069
219,481.069,481.069
220,481.069,481.069
221,481.069,481.069
222,481.069,481.069
223,481.069,481.069
224,481.069,481.069
225,481.069,481.069
226,481.069,481.069
