Generation,Normal Average,Memetic Average
0,9734.05,9746.35
1,9734.42,9749.42
2,9734.42,9751.05
3,9734.42,9751.75
4,9734.45,9752.67
5,9734.45,9753.35
6,9735.17,9754.1
7,9735.5,9754.42
8,9735.98,9754.7
9,9736.15,9755.77
10,9736.55,9756.27
11,9736.55,9756.4
12,9736.55,9756.95
13,9736.9,9757.08
14,9736.9,9757.27
15,9736.9,9758.25
16,9737.05,9758.3
17,9737.05,9758.77
18,9737.05,9758.83
19,9737.2,9758.83
20,9737.2,9758.88
21,9737.2,9759.1
22,9737.42,9759.1
23,9737.48,9759.1
24,9737.48,9759.3
25,9737.48,9759.35
26,9737.48,9759.85
27,9737.75,9759.92
28,9737.75,9759.92
29,9738.3,9759.92
30,9738.42,9760.42
31,9738.67,9760.42
32,9738.67,9760.67
33,9738.95,9760.85
34,9738.95,9760.85
35,9739.23,9761.08
36,9739.23,9761.17
37,9739.23,9761.27
38,9739.23,9761.33
39,9739.3,9761.33
40,9739.42,9761.33
41,9739.8,9761.38
42,9739.8,9761.48
43,9740.17,9761.48
44,9740.17,9761.5
45,9740.3,9761.8
46,9740.3,9761.95
47,9740.65,9762.08
48,9740.65,9762.3
49,9740.65,9762.3
50,9740.67,9762.5
51,9740.67,9762.62
52,9740.67,9762.65
53,9740.67,9762.67
54,9740.75,9762.7
55,9741.55,9762.7
56,9741.83,9762.73
57,9741.9,9762.73
58,9742,9762.9
59,9742.5,9762.9
60,9742.5,9762.98
61,9742.75,9763.12
62,9742.85,9763.12
63,9742.85,9763.12
64,9743.15,9763.17
65,9743.15,9763.17
66,9743.15,9763.55
67,9743.55,9763.55
68,9743.75,9763.55
69,9743.75,9763.6
70,9743.75,9763.6
71,9743.75,9763.75
72,9743.75,9763.77
73,9743.75,9763.85
74,9743.75,9763.85
75,9743.8,9763.85
76,9743.88,9763.85
77,9744.17,9764.02
78,9744.3,9764.2
79,9744.4,9764.2
80,9744.4,9764.25
81,9744.62,9764.27
82,9744.62,9764.38
83,9744.75,9764.38
84,9744.75,9764.38
85,9744.88,9764.5
86,9744.88,9764.5
87,9744.88,9764.52
88,9745.25,9764.52
89,9745.3,9764.52
90,9745.3,9764.52
91,9745.52,9764.62
92,9745.55,9764.62
93,9745.65,9764.62
94,9745.67,9764.62
95,9745.67,9764.62
96,9745.77,9764.62
97,9745.77,9764.62
98,9745.77,9764.62
99,9745.83,9764.62
100,9746.17,9764.62
101,9746.25,9764.73
102,9746.48,9764.73
103,9746.5,9764.73
104,9746.5,9764.73
105,9746.5,9764.73
106,9746.52,9764.73
107,9746.52,9764.73
108,9746.85,9764.73
109,9746.85,9764.73
110,9746.85,9764.73
111,9746.85,9764.83
112,9747.25,9764.83
113,9747.25,9764.83
114,9747.25,9764.85
115,9747.58,9764.85
116,9747.75,9764.95
117,9747.75,9764.95
118,9747.92,9764.95
119,9748.25,9764.95
120,9748.25,9764.95
121,9748.33,9764.98
122,9748.58,9764.98
123,9748.58,9764.98
124,9748.58,9764.98
125,9748.58,9764.98
126,9748.7,9764.98
127,9748.7,9764.98
128,9748.77,9765.1
129,9748.77,9765.2
130,9748.98,9765.2
131,9748.98,9765.2
132,9748.98,9765.2
133,9749.55,9765.2
134,9749.55,9765.2
135,9749.55,9765.2
136,9749.67,9765.33
137,9749.7,9765.33
138,9749.7,9765.33
139,9749.7,9765.33
140,9749.8,9765.33
141,9749.8,9765.33
142,9749.8,9765.33
143,9749.8,9765.33
144,9749.95,9765.33
145,9749.95,9765.33
146,9749.95,9765.33
147,9750.02,9765.33
148,9750.12,9765.33
149,9750.12,9765.33
150,9750.2,9765.42
151,9750.27,9765.42
152,9750.75,9765.42
153,9750.75,9765.42
154,9750.75,9765.42
155,9750.88,9765.42
