Generation,Normal Average,Memetic Average
0,21.075,21.275
1,21.6,21.75
2,21.725,21.95
3,21.75,22.075
4,21.875,22.2
5,21.9,22.325
6,22,22.4
7,22,22.425
8,22.025,22.425
9,22.1,22.425
10,22.2,22.625
11,22.35,22.65
12,22.375,22.65
13,22.4,22.65
14,22.4,22.675
15,22.4,22.675
16,22.5,22.675
17,22.525,22.7
18,22.55,22.7
19,22.55,22.7
20,22.55,22.7
21,22.55,22.7
22,22.55,22.7
23,22.55,22.7
24,22.55,22.8
25,22.55,22.825
26,22.55,22.825
27,22.55,22.9
28,22.55,22.9
29,22.575,22.9
30,22.675,22.9
31,22.675,22.9
32,22.675,22.9
33,22.7,22.9
34,22.7,22.9
35,22.8,22.95
36,22.8,22.95
37,22.8,22.975
38,22.8,22.975
39,22.85,22.975
40,22.85,22.975
41,22.85,22.975
42,22.85,22.975
43,22.85,22.975
44,22.85,22.975
45,22.85,22.975
46,22.85,22.975
47,22.85,22.975
48,22.85,22.975
49,22.85,22.975
50,22.85,22.975
51,22.85,22.975
52,22.85,22.975
53,22.85,22.975
54,22.85,22.975
55,22.85,22.975
56,22.875,22.975
57,22.875,22.975
58,22.875,22.975
59,22.875,23
60,22.875,23
61,22.875,23
62,22.875,23
63,22.875,23
64,22.875,23
65,22.95,23
66,22.95,23
67,22.95,23
68,22.95,23
69,22.95,23
70,22.95,23
71,22.95,23
72,22.95,23
73,22.95,23
74,22.95,23
75,22.95,23
76,22.95,23
77,22.95,23
78,22.95,23
79,22.95,23
80,22.95,23
81,22.95,23
82,22.95,23
83,22.95,23
84,22.95,23
85,22.95,23
86,22.95,23
87,22.95,23
88,22.95,23
89,22.95,23
90,22.95,23
91,22.95,23
92,22.95,23
93,22.95,23
94,22.95,23
95,22.95,23
96,22.95,23
97,22.95,23
98,22.95,23
99,22.95,23
100,22.95,23
101,22.95,23
102,22.95,23
103,22.95,23
104,22.95,23
105,22.95,23
106,22.95,23
107,22.95,23
108,22.95,23
109,22.95,23
110,22.95,23
111,22.95,23
112,22.95,23
113,22.95,23
114,22.95,23
115,22.95,23
116,22.95,23
117,22.95,23
118,22.95,23
119,22.95,23
120,22.95,23
121,22.95,23
122,22.95,23
123,22.95,23
124,22.95,23
125,22.95,23
126,22.95,23
127,22.95,23
128,22.95,23
129,22.95,23
130,22.95,23
131,22.95,23
132,22.95,23
133,22.95,23
134,22.95,23
135,22.95,23
136,22.95,23
137,22.95,23
138,22.95,23
139,22.95,23
140,22.95,23
141,22.95,23
142,22.95,23
143,22.95,23
144,22.95,23
145,22.95,23
146,22.95,23
147,22.95,23
148,22.95,23
149,22.975,23
150,22.975,23
151,22.975,23
152,22.975,23
153,22.975,23
154,22.975,23
155,22.975,23
156,22.975,23
157,22.975,23
158,22.975,23
159,22.975,23
160,22.975,23
161,22.975,23
162,22.975,23
163,22.975,23
164,22.975,23
165,22.975,23
166,22.975,23
167,22.975,23
168,22.975,23
169,22.975,23
170,22.975,23
171,22.975,23
172,22.975,23
173,22.975,23
174,22.975,23
175,22.975,23
176,22.975,23
177,22.975,23
178,22.975,23
179,22.975,23
180,22.975,23
181,22.975,23
182,22.975,23
183,22.975,23
184,22.975,23
185,22.975,23
186,22.975,23
187,22.975,23
188,22.975,23
189,22.975,23
190,22.975,23
191,22.975,23
192,22.975,23
193,22.975,23
194,22.975,23
195,22.975,23
196,22.975,23
197,22.975,23
198,22.975,23
199,22.975,23
200,22.975,23
201,23,23
202,23,23
203,23,23
204,23,23
205,23,23
206,23,23
207,23,23
